#facts,original_rank,new_score,prediction,new_ranks,original_score,new_rank,facts,new_scores
1,1,0.8095910847187042,"(7289, 11, 7956)","[1, 1]",3.7333531508920714e-05,1.0,"[(7289, 2, 30)]","[0.7967094779014587, 0.8224726915359497]"
1,1,7.081376338646805e-05,"(6966, 11, 8038)","[4, 3]",5.255751602817327e-06,3.5,"[(6966, 3, 748)]","[5.9645176406775136e-06, 0.0001356630091322586]"
1,1,0.09383339986743522,"(7751, 10, 7830)","[1, 1]",3.855851460343729e-08,1.0,"[(7751, 3, 391)]","[0.18766264617443085, 4.153560439590365e-06]"
1,1,0.4983402490615845,"(4952, 11, 7956)","[1, 1]",8.646970672998577e-05,1.0,"[(4952, 3, 75)]","[0.33916789293289185, 0.6575126051902771]"
1,1,0.9271116554737091,"(4777, 11, 7956)","[1, 1]",6.771103926439537e-06,1.0,"[(4777, 3, 346)]","[0.9098554849624634, 0.9443678259849548]"
1,1,0.04592000950657393,"(4912, 10, 7830)","[1, 1]",4.383919005590542e-08,1.0,"[(4912, 3, 1020)]","[0.09183821827173233, 1.8007414155363222e-06]"
1,1,7.772195925781489e-05,"(7392, 8, 7409)","[4, 9]",4.9305614084005356e-05,6.5,"[(7392, 3, 91)]","[0.00015476145199500024, 6.824665206295322e-07]"
1,1,7.80946947998018e-05,"(7289, 8, 7410)","[5, 7]",0.0023090641479939222,6.0,"[(7289, 3, 41)]","[0.00014894780179020017, 7.241587809403427e-06]"
1,1,0.005873854905075859,"(6383, 8, 7427)","[2, 5]",0.0007060354109853506,3.5,"[(6383, 3, 10)]","[0.011729654856026173, 1.805495412554592e-05]"
1,1,0.09248025892998157,"(5897, 10, 7830)","[1, 1]",1.0150869478309232e-08,1.0,"[(5897, 3, 10)]","[0.18495433032512665, 6.187534836499253e-06]"
1,1,0.006210815223312238,"(5665, 8, 7427)","[2, 4]",0.00212707556784153,3.0,"[(5665, 3, 37)]","[0.012351161800324917, 7.046864629955962e-05]"
1,1,0.00010970846960844938,"(6213, 8, 7410)","[2, 3]",8.857455395627767e-05,2.5,"[(6213, 3, 651)]","[0.00016542768571525812, 5.398925350164063e-05]"
1,1,0.0014868949219817296,"(5411, 8, 7410)","[4, 5]",0.010452235117554665,4.5,"[(5411, 3, 3189)]","[0.0026318980380892754, 0.0003418918058741838]"
1,1,0.0005313407309586182,"(7610, 9, 7903)","[4, 1]",0.00033357946085743606,2.5,"[(7610, 3, 1123)]","[0.0003403316659387201, 0.0007223497959785163]"
1,1,0.013342542108148336,"(7628, 12, 8676)","[2, 3]",0.000957758747972548,2.5,"[(7628, 3, 7)]","[0.014552616514265537, 0.012132467702031136]"
1,1,0.003563123011190328,"(6105, 8, 7427)","[2, 6]",0.001002475735731423,4.0,"[(6105, 3, 253)]","[0.007094379048794508, 3.186697358614765e-05]"
1,1,0.028258397887611864,"(7450, 10, 7830)","[1, 1]",5.266637259637719e-08,1.0,"[(7450, 3, 218)]","[0.05651229992508888, 4.495850134844659e-06]"
1,1,0.19387801742504962,"(6263, 10, 7830)","[1, 1]",1.688314910097688e-08,1.0,"[(6263, 2, 31)]","[0.387737512588501, 1.8522261598263867e-05]"
1,1,0.00016202745973714627,"(6137, 8, 7410)","[7, 4]",0.0002039859682554379,5.5,"[(6137, 3, 6)]","[0.00022022576013114303, 0.00010382915934314951]"
1,1,0.016818525895132552,"(5067, 10, 7830)","[1, 1]",5.568748662199141e-08,1.0,"[(5067, 3, 5072)]","[0.03363377973437309, 3.272055892011849e-06]"
