#facts,new_rank,facts,new_ranks,prediction,original_score,original_rank,new_scores,new_score
3,3.0,"[(5781, 1, 65), (5781, 3, 2977), (5781, 3, 772)]","[3, 3]","(5781, 11, 6729)",5.655415,2,"[5.162366, 4.3354235]",4.7488947
3,3.0,"[(6976, 3, 476), (6976, 3, 369), (6976, 3, 6978)]","[4, 2]","(6976, 11, 7992)",5.79963,3,"[5.7206945, 5.876716]",5.798705
3,3.5,"[(5834, 3, 40), (5834, 2, 789), (5834, 3, 294)]","[3, 4]","(5834, 11, 6729)",6.3059583,2,"[5.2819085, 5.5650425]",5.4234753
3,1.0,"[(5133, 3, 4194), (5133, 3, 4866), (5133, 2, 5135)]","[1, 1]","(5133, 9, 10166)",6.655379,1,"[6.741088, 6.0520797]",6.3965836
3,1.5,"[(5907, 2, 709), (5907, 3, 75), (5907, 2, 1538)]","[1, 2]","(5907, 9, 6144)",6.9573603,2,"[6.7139525, 5.982947]",6.3484497
3,1.0,"[(6504, 3, 9), (6504, 3, 10), (6504, 3, 6)]","[1, 1]","(6504, 11, 7992)",6.168879,1,"[5.7318964, 6.1190643]",5.9254804
3,2.0,"[(5411, 3, 2257), (5411, 1, 65), (5411, 3, 192)]","[1, 3]","(5411, 11, 8097)",7.0618706,1,"[6.0450425, 5.575117]",5.8100796
3,1.5,"[(6766, 4, 66), (6766, 3, 78), (6766, 3, 10)]","[2, 1]","(6766, 11, 7992)",6.3387327,1,"[6.404028, 6.848259]",6.6261435
3,1.0,"[(7392, 2, 29), (7392, 3, 33), (7392, 1, 2467)]","[1, 1]","(7392, 9, 7790)",9.634243,1,"[9.639558, 9.544096]",9.591827
3,2.0,"[(7281, 3, 40), (7281, 3, 279), (7281, 2, 69)]","[3, 1]","(7281, 11, 7992)",6.138865,1,"[4.795311, 5.818267]",5.306789
3,1.0,"[(6083, 2, 69), (6083, 3, 74), (6083, 3, 10)]","[1, 1]","(6083, 9, 8418)",8.809921,1,"[9.313652, 8.621912]",8.967782
3,1.5,"[(7080, 1, 1054), (7080, 3, 460), (7080, 3, 519)]","[2, 1]","(7080, 9, 6144)",6.4506083,1,"[5.958337, 6.0159016]",5.987119
3,1.0,"[(4777, 3, 40), (4777, 3, 519), (4777, 1, 1054)]","[1, 1]","(4777, 9, 6144)",7.26068,1,"[7.413042, 6.5620046]",6.987523
3,1.0,"[(7407, 3, 6), (7407, 3, 40), (7407, 3, 39)]","[1, 1]","(7407, 11, 7869)",7.057395,1,"[7.181957, 6.8512344]",7.016596
3,2.0,"[(6300, 3, 715), (6300, 3, 892), (6300, 2, 171)]","[2, 2]","(6300, 9, 8151)",8.371053,2,"[7.255358, 7.37633]",7.315844
3,2.0,"[(7125, 3, 40), (7125, 3, 39), (7125, 3, 219)]","[2, 2]","(7125, 11, 7869)",5.6012373,2,"[5.3016686, 5.545067]",5.4233675
3,1.5,"[(4978, 3, 93), (4978, 3, 94), (4978, 1, 264)]","[1, 2]","(4978, 11, 90)",7.456912,1,"[7.293269, 6.9232607]",7.108265
3,1.0,"[(7426, 3, 666), (7426, 3, 39), (7426, 3, 58)]","[1, 1]","(7426, 11, 8038)",6.6888194,1,"[6.1805077, 6.0006113]",6.0905595
3,1.0,"[(6394, 3, 2586), (6394, 3, 113), (6394, 3, 9)]","[1, 1]","(6394, 9, 3917)",8.089542,1,"[7.496071, 7.426136]",7.4611034
3,3.0,"[(7868, 1, 65), (7868, 3, 801), (7868, 3, 149)]","[3, 3]","(7868, 11, 6729)",7.079462,1,"[6.2550626, 5.83447]",6.0447664
3,2.0,"[(6115, 3, 213), (6115, 3, 227), (6115, 3, 226)]","[1, 3]","(6115, 11, 6729)",7.6898937,1,"[6.6339774, 6.1823177]",6.408148
3,2.5,"[(6263, 3, 2034), (6263, 2, 729), (6263, 3, 2702)]","[3, 2]","(6263, 9, 9452)",7.2706003,1,"[6.9448996, 6.806417]",6.875658
3,1.0,"[(5834, 2, 1166), (5834, 2, 789), (5834, 3, 1177)]","[1, 1]","(5834, 9, 1470)",8.630572,1,"[7.7792606, 8.651385]",8.2153225
3,1.0,"[(7610, 3, 1123), (7610, 3, 39), (7610, 3, 3734)]","[1, 1]","(7610, 9, 7903)",9.556608,1,"[9.036884, 8.999218]",9.018051
3,2.0,"[(7628, 3, 279), (7628, 3, 184), (7628, 3, 7629)]","[2, 2]","(7628, 12, 8676)",8.142027,2,"[7.3806186, 7.2764163]",7.3285174
3,1.5,"[(5067, 3, 40), (5067, 3, 6), (5067, 3, 10)]","[1, 2]","(5067, 11, 7984)",5.666048,1,"[5.5023336, 5.114791]",5.3085623
3,1.0,"[(6766, 3, 629), (6766, 2, 2083), (6766, 3, 630)]","[1, 1]","(6766, 9, 11980)",8.600188,1,"[8.358922, 8.429475]",8.394198
3,1.0,"[(5200, 3, 75), (5200, 3, 1112), (5200, 3, 1552)]","[1, 1]","(5200, 11, 7869)",6.3907385,2,"[6.6608057, 6.8251405]",6.7429733
3,1.0,"[(6246, 3, 92), (6246, 3, 6), (6246, 3, 149)]","[1, 1]","(6246, 11, 90)",6.5092406,1,"[6.5212708, 6.486121]",6.503696
3,2.0,"[(5305, 3, 94), (5305, 3, 41), (5305, 3, 5314)]","[2, 2]","(5305, 12, 9444)",7.808302,1,"[6.817721, 6.993724]",6.9057226
3,1.0,"[(4952, 1, 941), (4952, 2, 30), (4952, 2, 31)]","[1, 1]","(4952, 11, 7869)",5.530306,1,"[5.8658934, 5.5149493]",5.690421
