new_rank,#facts,new_scores,new_ranks,facts,prediction,original_score,new_score,original_rank
6.5,3,"[3.061100331547273e-11, 2.6550494567345595e-06]","[12, 1]","[(7125, 3, 2585), (7125, 3, 10), (7125, 4, 66)]","(7125, 10, 7830)",9.861518712739326e-09,1.3275400338689375e-06,1
6.5,3,"[7.896289871967e-11, 1.1650143960650894e-06]","[12, 1]","[(5269, 3, 1969), (5269, 3, 47), (5269, 3, 5273)]","(5269, 10, 7830)",8.774312831860698e-09,5.825466794819045e-07,1
8.0,3,"[8.576934995563334e-11, 8.803961009107297e-07]","[15, 1]","[(6383, 3, 3058), (6383, 3, 303), (6383, 3, 56)]","(6383, 10, 7830)",3.598073616828401e-09,4.402409351303427e-07,1
7.5,3,"[1.1786775722111287e-10, 9.006932941701962e-07]","[14, 1]","[(5380, 2, 728), (5380, 3, 2127), (5380, 3, 1352)]","(5380, 10, 7830)",9.406750933749208e-09,4.5040558096370864e-07,1
10.5,3,"[8.424640846049769e-11, 4.967016025148041e-07]","[20, 1]","[(7097, 3, 5157), (7097, 3, 10), (7097, 3, 733)]","(7097, 10, 7830)",3.679509363863076e-09,2.483929244616323e-07,1
5.5,3,"[2.2660399945362286e-10, 5.92004369082133e-07]","[10, 1]","[(5665, 3, 111), (5665, 2, 30), (5665, 3, 56)]","(5665, 10, 7830)",1.1674138988837512e-07,2.9611548654079334e-07,1
2.0,3,"[0.0009596007294021547, 0.8786182999610901]","[3, 1]","[(6976, 3, 10), (6976, 3, 73), (6976, 2, 68)]","(6976, 11, 7956)",1.3795589438814204e-05,0.4397889503452461,1
7.5,3,"[8.227412501282672e-11, 7.113929427760013e-07]","[14, 1]","[(5627, 3, 41), (5627, 3, 5630), (5627, 3, 56)]","(5627, 10, 7830)",2.871291258088604e-07,3.5573760845050706e-07,1
6.5,3,"[1.4731657560496103e-10, 9.172213566444043e-08]","[12, 1]","[(5586, 1, 65), (5586, 2, 30), (5586, 3, 1746)]","(5586, 10, 7830)",9.579575355189718e-09,4.5934726120022695e-08,1
1.5,3,"[0.12588642537593842, 0.17240212857723236]","[1, 2]","[(5586, 3, 10), (5586, 3, 9), (5586, 3, 40)]","(5586, 12, 4492)",0.07337050884962082,0.1491442769765854,1
9.0,3,"[1.5631576033570127e-09, 7.002015081525315e-06]","[12, 6]","[(6900, 3, 939), (6900, 3, 41), (6900, 3, 10)]","(6900, 8, 7393)",0.00042496295645833015,3.501789119564336e-06,1
9.0,3,"[9.95883514542939e-11, 3.999235559604131e-06]","[17, 1]","[(5645, 2, 266), (5645, 3, 75), (5645, 3, 20)]","(5645, 10, 7830)",4.1949319573575394e-09,1.9996675739777925e-06,1
9.0,3,"[5.035855621393637e-10, 0.00011509622709127143]","[15, 3]","[(5844, 3, 10), (5844, 2, 30), (5844, 3, 666)]","(5844, 8, 7427)",0.0008862688555382192,5.7548365338416785e-05,1
18.0,3,"[7.41278927307576e-05, 1.7206969005201245e-06]","[7, 29]","[(4870, 3, 890), (4870, 3, 3987), (4870, 3, 892)]","(4870, 9, 8151)",7.97808897914365e-05,3.792429481563886e-05,1
12.5,3,"[1.7385924365953542e-05, 1.4657459360023495e-05]","[9, 16]","[(6054, 3, 177), (6054, 3, 715), (6054, 3, 6059)]","(6054, 9, 8151)",0.00014518971147481352,1.602169186298852e-05,1
