original_rank,original_score,#facts,new_score,new_ranks,facts,new_rank,new_scores,prediction
1,5.2181261708028615e-05,3,0.3135029152035713,"[1, 1]","[(8140, 11, 7956), (8351, 11, 7956), (8036, 11, 7956)]",1.0,"[0.5166484713554382, 0.1103573590517044]","(7177, 11, 7956)"
1,0.00012008265184704214,3,0.009616635157726705,"[3, 4]","[(15423, 12, 4492), (12158, 12, 4492), (15828, 12, 4492)]",3.5,"[0.0027942105662077665, 0.016439059749245644]","(7536, 12, 4492)"
1,5.526598068072985e-10,3,1.848955211158909e-08,"[4, 1]","[(7833, 10, 7830), (8557, 10, 7830), (8048, 10, 7830)]",2.5,"[1.1627534490799007e-08, 2.5351569732379176e-08]","(7182, 10, 7830)"
1,0.07745267450809479,3,0.0002898571128753247,"[5, 4]","[(7714, 8, 7567), (8416, 8, 7567), (8355, 8, 7567)]",4.5,"[9.551793482387438e-06, 0.0005701624322682619]","(5234, 8, 7567)"
1,0.00010146859858650714,3,3.0667037762555083e-06,"[12, 13]","[(8048, 8, 7593), (7688, 8, 7593), (8338, 8, 7593)]",12.5,"[1.5822699594991718e-07, 5.975180556561099e-06]","(5110, 8, 7593)"
1,4.245953633130739e-08,3,1.818543982068377e-08,"[4, 2]","[(7955, 10, 7830), (8287, 10, 7830), (8338, 10, 7830)]",3.0,"[1.4329335940033161e-08, 2.2041543701334376e-08]","(7365, 10, 7830)"
1,4.635970981325954e-05,3,6.7422334950606455e-06,"[16, 5]","[(8092, 8, 7429), (7751, 8, 7429), (7469, 8, 7429)]",10.5,"[2.602974063847796e-06, 1.0881492926273495e-05]","(6383, 8, 7429)"
1,0.013211838901042938,3,0.0006420833378797397,"[1, 2]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",1.5,"[0.0002668488014023751, 0.0010173178743571043]","(5849, 8, 7410)"
1,3.285558847210268e-08,3,2.7638899169346587e-08,"[2, 2]","[(7833, 10, 7830), (8557, 10, 7830), (8338, 10, 7830)]",2.0,"[2.436911827885524e-08, 3.0908680059837934e-08]","(6004, 10, 7830)"
1,0.026959797367453575,3,0.002603343193186447,"[2, 2]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",2.0,"[0.00032586365705356, 0.004880822729319334]","(5781, 8, 7410)"
1,0.00015194447769317776,3,0.0009692646450503162,"[2, 5]","[(10240, 11, 8038), (10280, 11, 8038), (9941, 11, 8038)]",3.5,"[0.0019358634017407894, 2.6658883598429384e-06]","(5575, 11, 8038)"
1,0.0005842457758262753,3,7.177705083449837e-05,"[2, 4]","[(8007, 8, 7410), (8092, 8, 7410), (7955, 8, 7410)]",3.0,"[0.00011432847531978041, 2.9225626349216327e-05]","(4882, 8, 7410)"
