original_score,#facts,prediction,new_score,facts,new_scores,new_rank,new_ranks,original_rank
4.3664303,3,"(5279, 8, 7429)",2.3944547,"[(5279, 4, 66), (5279, 3, 6), (5279, 3, 3553)]","[2.3954515, 2.393458]",1.5,"[2, 1]",1
4.519601,3,"(6619, 8, 7410)",2.2819123,"[(6619, 2, 172), (6619, 3, 6626), (6619, 2, 132)]","[2.2130601, 2.3507643]",1.0,"[1, 1]",3
3.2503138,3,"(5498, 10, 7830)",3.0217042,"[(5498, 3, 731), (5498, 3, 914), (5498, 3, 2366)]","[2.9895506, 3.0538578]",1.0,"[1, 1]",5
3.338922,3,"(5586, 12, 4492)",4.2112465,"[(5586, 3, 88), (5586, 3, 2417), (5586, 1, 65)]","[4.9412932, 3.4811995]",2.5,"[3, 2]",2
5.230544,3,"(7335, 8, 7429)",2.3159392,"[(7335, 3, 7346), (7335, 3, 6183), (7335, 2, 31)]","[2.2686057, 2.3632727]",1.0,"[1, 1]",7
3.5500622,3,"(5645, 10, 7830)",3.0710135,"[(5645, 3, 1200), (5645, 2, 30), (5645, 1, 65)]","[3.1076488, 3.0343778]",1.0,"[1, 1]",5
5.7202277,3,"(7058, 8, 7566)",2.5093975,"[(7058, 2, 68), (7058, 3, 10), (7058, 3, 1242)]","[2.460518, 2.558277]",5.5,"[8, 3]",1
3.5952108,3,"(6914, 11, 7869)",3.1141496,"[(6914, 3, 35), (6914, 3, 55), (6914, 3, 38)]","[2.4680135, 3.7602856]",1.5,"[1, 2]",3
5.323513,3,"(6492, 8, 7410)",2.3012624,"[(6492, 3, 733), (6492, 3, 2706), (6492, 3, 40)]","[2.1718488, 2.4306762]",1.0,"[1, 1]",4
3.5309901,3,"(6587, 9, 8151)",3.6407802,"[(6587, 3, 78), (6587, 2, 31), (6587, 3, 5524)]","[3.7107725, 3.570788]",2.0,"[2, 2]",36
3.39451,3,"(5717, 10, 7830)",3.027018,"[(5717, 3, 78), (5717, 3, 192), (5717, 3, 9)]","[3.0217824, 3.032254]",1.0,"[1, 1]",5
4.6961765,3,"(5498, 8, 7429)",2.2443562,"[(5498, 3, 75), (5498, 3, 78), (5498, 2, 30)]","[2.1713624, 2.3173497]",1.5,"[2, 1]",1
5.671821,3,"(6195, 8, 7566)",2.492733,"[(6195, 1, 65), (6195, 3, 2021), (6195, 3, 1019)]","[2.4661925, 2.5192733]",5.5,"[8, 3]",3
5.7716856,3,"(4952, 8, 7567)",2.5243058,"[(4952, 3, 880), (4952, 3, 706), (4952, 3, 38)]","[2.4128504, 2.6357613]",4.0,"[4, 4]",2
5.3270907,3,"(6812, 8, 7410)",2.3892984,"[(6812, 3, 10), (6812, 2, 709), (6812, 3, 694)]","[2.3841798, 2.394417]",1.0,"[1, 1]",3
3.4012923,3,"(7655, 10, 7830)",3.116569,"[(7655, 3, 476), (7655, 3, 942), (7655, 3, 40)]","[3.1386156, 3.0945227]",1.0,"[1, 1]",5
5.3250837,3,"(5756, 8, 7408)",2.6527839,"[(5756, 3, 37), (5756, 4, 924), (5756, 2, 172)]","[2.4646902, 2.8408775]",4.5,"[3, 6]",2
2.5668676,3,"(7788, 10, 7830)",2.9871912,"[(7788, 3, 9), (7788, 3, 220), (7788, 8, 7429)]","[3.0328434, 2.9415388]",1.0,"[1, 1]",3
3.567545,3,"(5920, 10, 7830)",3.0443873,"[(5920, 3, 150), (5920, 3, 220), (5920, 3, 74)]","[3.0329726, 3.0558023]",1.0,"[1, 1]",5
2.672183,3,"(7107, 11, 7869)",3.011685,"[(7107, 3, 40), (7107, 2, 68), (7107, 3, 34)]","[2.416021, 3.607349]",1.5,"[1, 2]",1
2.9227967,3,"(7756, 10, 7830)",3.2197733,"[(7756, 3, 427), (7756, 3, 1714), (7756, 8, 7409)]","[3.2475762, 3.19197]",1.0,"[1, 1]",5
2.8491967,3,"(6320, 11, 7956)",2.925687,"[(6320, 3, 1267), (6320, 2, 69), (6320, 3, 717)]","[2.3323197, 3.5190544]",1.0,"[1, 1]",2
2.6253808,3,"(5822, 11, 7956)",2.8384724,"[(5822, 3, 5830), (5822, 3, 476), (5822, 3, 369)]","[2.2272108, 3.449734]",1.0,"[1, 1]",1
3.3306432,3,"(5279, 11, 7956)",2.9294314,"[(5279, 3, 2138), (5279, 3, 891), (5279, 4, 66)]","[2.351861, 3.5070019]",1.0,"[1, 1]",1
3.6683598,3,"(7125, 11, 7956)",3.1228957,"[(7125, 3, 3454), (7125, 3, 220), (7125, 3, 7133)]","[2.6559117, 3.58988]",1.0,"[1, 1]",3
5.0585365,3,"(4870, 8, 7567)",2.5067167,"[(4870, 2, 172), (4870, 3, 538), (4870, 3, 3987)]","[2.4799755, 2.5334582]",4.0,"[4, 4]",2
3.568142,3,"(5517, 10, 7830)",3.1414812,"[(5517, 2, 30), (5517, 3, 5521), (5517, 3, 1482)]","[3.1950982, 3.0878642]",1.0,"[1, 1]",5
3.2811787,3,"(6213, 10, 7830)",3.0321107,"[(6213, 3, 20), (6213, 4, 485), (6213, 3, 1966)]","[3.0468102, 3.0174112]",1.0,"[1, 1]",5
3.463342,3,"(6373, 11, 7869)",3.1932168,"[(6373, 1, 65), (6373, 3, 731), (6373, 3, 3669)]","[2.481772, 3.9046617]",1.5,"[1, 2]",2
3.772318,3,"(6966, 10, 7830)",3.2692332,"[(6966, 3, 78), (6966, 3, 2281), (6966, 5, 6967)]","[3.1889875, 3.3494787]",1.0,"[1, 1]",4
2.4277787,3,"(7450, 11, 7956)",2.8334188,"[(7450, 2, 70), (7450, 3, 706), (7450, 3, 1630)]","[2.1547067, 3.5121307]",1.0,"[1, 1]",1
3.9130654,3,"(5907, 11, 7956)",3.1118994,"[(5907, 2, 1538), (5907, 4, 66), (5907, 3, 5914)]","[2.5303555, 3.6934435]",1.0,"[1, 1]",7
3.7173736,3,"(7177, 10, 7830)",3.1689672,"[(7177, 3, 79), (7177, 3, 370), (7177, 3, 149)]","[3.1950622, 3.1428723]",1.0,"[1, 1]",5
5.0394883,3,"(7335, 8, 7410)",2.29556,"[(7335, 3, 1270), (7335, 3, 4017), (7335, 3, 6183)]","[2.2166076, 2.374512]",1.0,"[1, 1]",2
4.9103956,3,"(5645, 8, 7429)",2.3402417,"[(5645, 2, 266), (5645, 3, 5657), (5645, 3, 20)]","[2.265166, 2.4153173]",1.5,"[2, 1]",6
3.4898267,3,"(6966, 11, 7956)",3.0981965,"[(6966, 3, 297), (6966, 3, 2278), (6966, 3, 1197)]","[2.4615083, 3.7348847]",1.0,"[1, 1]",3
5.7092123,3,"(6900, 8, 7566)",2.6694896,"[(6900, 3, 5846), (6900, 2, 31), (6900, 3, 297)]","[2.7027378, 2.6362414]",3.5,"[5, 2]",1
3.4794037,3,"(7065, 10, 7830)",3.0552683,"[(7065, 3, 1855), (7065, 3, 9), (7065, 3, 738)]","[3.015244, 3.0952923]",1.0,"[1, 1]",5
4.629287,3,"(5533, 8, 7429)",2.322566,"[(5533, 2, 30), (5533, 1, 1054), (5533, 2, 305)]","[2.2579455, 2.3871868]",2.0,"[1, 3]",1
5.352762,3,"(5907, 8, 7566)",2.5417566,"[(5907, 3, 712), (5907, 3, 1552), (5907, 3, 711)]","[2.4427085, 2.640805]",3.0,"[4, 2]",1
3.5670092,3,"(7125, 11, 7869)",3.299909,"[(7125, 3, 10), (7125, 3, 7126), (7125, 3, 219)]","[2.8338575, 3.7659607]",1.5,"[1, 2]",3
3.8982012,3,"(6394, 8, 7427)",2.2964802,"[(6394, 2, 68), (6394, 3, 891), (6394, 3, 37)]","[2.198516, 2.3944445]",3.0,"[2, 4]",1
3.2648082,3,"(7426, 11, 7956)",3.0602784,"[(7426, 2, 30), (7426, 3, 666), (7426, 3, 58)]","[2.440322, 3.680235]",1.0,"[1, 1]",3
5.424654,3,"(5770, 8, 7410)",2.31608,"[(5770, 2, 30), (5770, 3, 772), (5770, 3, 5780)]","[2.220493, 2.4116673]",1.0,"[1, 1]",3
2.9549463,3,"(7655, 11, 7956)",2.929287,"[(7655, 3, 9), (7655, 3, 40), (7655, 3, 942)]","[2.3233972, 3.5351765]",1.0,"[1, 1]",3
3.9476411,3,"(6504, 10, 7830)",3.0618758,"[(6504, 1, 65), (6504, 3, 7), (6504, 3, 3863)]","[3.041035, 3.0827167]",1.0,"[1, 1]",5
5.3959875,3,"(6492, 8, 7393)",2.3387804,"[(6492, 3, 3448), (6492, 2, 68), (6492, 3, 41)]","[2.222997, 2.4545639]",1.5,"[1, 2]",5
2.6421046,3,"(6383, 11, 7956)",2.836127,"[(6383, 3, 730), (6383, 3, 1526), (6383, 2, 728)]","[2.225017, 3.447237]",1.0,"[1, 1]",2
5.885943,3,"(5558, 8, 7410)",2.586911,"[(5558, 3, 630), (5558, 3, 78), (5558, 3, 5561)]","[2.5391068, 2.634715]",1.0,"[1, 1]",4
2.6512852,3,"(7628, 12, 8676)",3.9238873,"[(7628, 8, 7408), (7628, 3, 40), (7628, 8, 7567)]","[4.4819846, 3.3657897]",1.0,"[1, 1]",3
3.9084363,3,"(6205, 10, 7830)",3.1041594,"[(6205, 3, 184), (6205, 3, 10), (6205, 3, 220)]","[3.099709, 3.1086097]",1.0,"[1, 1]",5
4.1836443,3,"(7201, 8, 7410)",2.2522192,"[(7201, 2, 4111), (7201, 3, 6), (7201, 3, 1180)]","[2.1632895, 2.341149]",1.0,"[1, 1]",2
3.7838056,3,"(4952, 11, 7869)",3.0746155,"[(4952, 3, 4958), (4952, 3, 4957), (4952, 1, 941)]","[2.4496498, 3.6995814]",1.5,"[1, 2]",3
