new_score,facts,new_ranks,#facts,original_score,prediction,new_scores,new_rank,original_rank,perspective
2.1904042,"[(16014, 8, 7566)]","[1, 3]",1,5.064227,"(4870, 8, 7566)","[2.186597, 2.1942112]",2.0,2,all
2.3349514,"[(18068, 2, 31), (18068, 8, 7427), (6162, 2, 31)]","[2, 1]",3,5.207631,"(6162, 8, 7427)","[2.3745542, 2.2953486]",1.5,6,all
3.2379513,"[(7201, 3, 3975)]","[1, 1]",1,2.8545017,"(7201, 10, 7830)","[3.4760482, 2.999854]",1.0,4,all
2.1942983,"[(13631, 8, 7410)]","[3, 1]",1,5.424654,"(5770, 8, 7410)","[2.2494004, 2.1391962]",2.0,3,all
2.3764248,"[(11569, 8, 7410)]","[2, 2]",1,5.775256,"(5781, 8, 7410)","[2.3106914, 2.442158]",2.0,3,all
3.178412,"[(21959, 10, 7830), (21959, 3, 10), (7655, 3, 10)]","[1, 1]",3,3.4012923,"(7655, 10, 7830)","[3.3603134, 2.9965105]",1.0,5,all
3.1589308,"[(6323, 3, 75)]","[1, 1]",1,2.9513865,"(6323, 10, 7830)","[3.3785815, 2.9392803]",1.0,5,all
4.072799,"[(8048, 12, 4492)]","[1, 1]",1,2.7237372,"(7628, 12, 4492)","[3.5768979, 4.568701]",1.0,3,all
2.239167,"[(15971, 8, 7429)]","[2, 1]",1,4.629287,"(5533, 8, 7429)","[2.3482766, 2.1300573]",1.5,1,all
2.728911,"[(16744, 11, 7956)]","[1, 1]",1,3.9591098,"(5067, 11, 7956)","[2.9392104, 2.5186114]",1.0,2,all
2.401301,"[(13505, 8, 7410)]","[3, 2]",1,5.885943,"(5558, 8, 7410)","[2.4524095, 2.3501925]",2.5,4,all
2.9205809,"[(10701, 2, 30), (10701, 11, 7869), (6914, 2, 30)]","[3, 1]",3,3.5952108,"(6914, 11, 7869)","[3.2587123, 2.5824494]",2.0,3,all
2.2124176,"[(24252, 8, 7410)]","[2, 1]",1,4.852529,"(5110, 8, 7410)","[2.2779737, 2.1468616]",1.5,3,all
3.1494641,"[(7788, 2, 27), (23245, 2, 27), (23245, 10, 7830)]","[1, 1]",3,2.5668676,"(7788, 10, 7830)","[3.398096, 2.9008324]",1.0,3,all
3.26301,"[(8704, 10, 7830), (8704, 2, 30), (6205, 2, 30)]","[1, 1]",3,3.9084363,"(6205, 10, 7830)","[3.4879854, 3.038035]",1.0,5,all
2.167286,"[(19995, 8, 7429), (19995, 2, 68), (5645, 2, 68)]","[3, 1]",3,4.9103956,"(5645, 8, 7429)","[2.2501585, 2.0844135]",2.0,6,all
2.167972,"[(25527, 8, 7410)]","[2, 1]",1,5.0394883,"(7335, 8, 7410)","[2.278719, 2.0572255]",1.5,2,all
2.6530795,"[(25135, 11, 7956)]","[1, 1]",1,3.0966597,"(7769, 11, 7956)","[2.9203334, 2.3858256]",1.0,3,all
2.655981,"[(8486, 11, 7956)]","[1, 1]",1,3.4227931,"(7838, 11, 7956)","[2.9489217, 2.3630404]",1.0,2,all
4.489725,"[(6587, 3, 78)]","[2, 1]",1,3.5309901,"(6587, 9, 8151)","[5.3975244, 3.581926]",1.5,36,all
