new_ranks,new_scores,new_rank,original_rank,original_score,#facts,new_score,prediction,facts
"[1, 1]","[2.8751802, 2.9385848]",1.0,5,3.568142,2,2.9068825,"(5517, 10, 7830)","[(5517, 3, 731), (5517, 3, 1005)]"
"[1, 1]","[2.7629795, 2.9761717]",1.0,5,3.2811787,1,2.8695755,"(6213, 10, 7830)","[(6213, 3, 75)]"
"[1, 1]","[2.4227471, 3.6215744]",1.0,2,3.463342,1,3.0221608,"(6373, 11, 7869)","[(6373, 1, 65)]"
"[1, 1]","[2.847434, 2.982856]",1.0,4,3.772318,1,2.915145,"(6966, 10, 7830)","[(6966, 3, 185)]"
"[1, 1]","[2.1776865, 3.499007]",1.0,1,2.4277787,1,2.8383467,"(7450, 11, 7956)","[(7450, 3, 370)]"
"[1, 1]","[2.8815582, 3.118486]",1.0,5,3.7173736,2,3.000022,"(7177, 10, 7830)","[(7177, 4, 169), (7177, 3, 39)]"
"[1, 1]","[2.4616733, 3.67876]",1.0,7,3.9130654,1,3.0702167,"(5907, 11, 7956)","[(5907, 3, 712)]"
"[1, 1]","[2.0590806, 2.5199308]",1.0,2,5.0394883,1,2.2895057,"(7335, 8, 7410)","[(7335, 4, 66)]"
"[1, 4]","[2.0597343, 2.6331546]",2.5,6,4.9103956,1,2.3464446,"(5645, 8, 7429)","[(5645, 3, 5661)]"
"[1, 1]","[2.3002977, 3.5628195]",1.0,3,3.4898267,2,2.9315586,"(6966, 11, 7956)","[(6966, 2, 2270), (6966, 3, 6969)]"
"[5, 5]","[2.4839835, 2.8889918]",5.0,1,5.7092123,1,2.6864877,"(6900, 8, 7566)","[(6900, 3, 6902)]"
"[1, 1]","[2.8337996, 3.000956]",1.0,5,3.4794037,1,2.917378,"(7065, 10, 7830)","[(7065, 5, 7066)]"
"[1, 1]","[2.1636872, 2.5300574]",1.0,1,4.629287,1,2.3468723,"(5533, 8, 7429)","[(5533, 3, 5535)]"
"[4, 3]","[2.3542686, 2.777997]",3.5,1,5.352762,3,2.5661328,"(5907, 8, 7566)","[(5907, 3, 712), (5907, 3, 711), (5907, 3, 4204)]"
"[1, 1]","[2.5542295, 3.598285]",1.0,3,3.5670092,1,3.0762572,"(7125, 11, 7869)","[(7125, 3, 10)]"
"[1, 3]","[2.0446236, 2.4519625]",2.0,1,3.8982012,2,2.248293,"(6394, 8, 7427)","[(6394, 3, 891), (6394, 3, 1839)]"
"[1, 1]","[2.3726811, 3.626128]",1.0,3,3.2648082,1,2.9994044,"(7426, 11, 7956)","[(7426, 1, 65)]"
"[1, 1]","[2.2859144, 3.6184564]",1.0,3,2.9549463,1,2.9521854,"(7655, 11, 7956)","[(7655, 3, 39)]"
"[1, 1]","[2.1195533, 2.4470012]",1.0,3,5.424654,1,2.2832773,"(5770, 8, 7410)","[(5770, 1, 65)]"
"[1, 1]","[2.9640822, 3.20631]",1.0,5,3.9476411,2,3.085196,"(6504, 10, 7830)","[(6504, 3, 111), (6504, 3, 6511)]"
"[2, 3]","[2.085029, 2.6497526]",2.5,5,5.3959875,1,2.3673906,"(6492, 8, 7393)","[(6492, 3, 2706)]"
"[1, 1]","[2.1670744, 3.5946846]",1.0,2,2.6421046,1,2.8808794,"(6383, 11, 7956)","[(6383, 3, 2539)]"
"[2, 1]","[2.579798, 2.7519412]",1.5,4,5.885943,3,2.6658697,"(5558, 8, 7410)","[(5558, 3, 5561), (5558, 3, 630), (5558, 3, 40)]"
"[1, 1]","[4.6489224, 3.5548346]",1.0,3,2.6512852,1,4.1018786,"(7628, 12, 8676)","[(7628, 8, 7408)]"
"[1, 1]","[2.858109, 2.9939327]",1.0,5,3.9084363,1,2.9260209,"(6205, 10, 7830)","[(6205, 2, 709)]"
"[1, 1]","[2.0850313, 2.5624743]",1.0,2,4.1836443,1,2.3237529,"(7201, 8, 7410)","[(7201, 3, 3975)]"
"[1, 1]","[2.4116285, 3.5287614]",1.0,3,3.7838056,1,2.9701948,"(4952, 11, 7869)","[(4952, 3, 4958)]"
