original_score,new_rank,new_ranks,original_rank,exp_length,prediction,new_score,new_scores,facts,exp
7.3364105,2.0,[2],2,3,"(6327, 12, 8676)",7.3872414,[7.3872414],"[({(6327, 4, 66)}, -0.4850994481978431, 'baseline'), ({(6327, 3, 279)}, -0.5883574945476503, 'baseline'), ({(6327, 3, 40)}, -0.7167944367565814, 'baseline'), ({(6327, 2, 31)}, -0.7244160993988159, 'baseline'), ({(6327, 2, 30)}, -0.7286199633184912, 'baseline'), ({(6327, 3, 220)}, -0.7349842155372687, 'baseline'), ({(6327, 3, 7)}, -0.7497833482028092, 'baseline'), ({(6327, 2, 68)}, -0.7747009259181927, 'baseline'), ({(6327, 3, 39)}, -0.8071846217451656, 'baseline'), ({(6327, 3, 6)}, -0.8312538759322047, 'baseline')]","[(21590, 4, 66), (21590, 12, 8676), (6327, 4, 66)]"
5.7324796,1.0,[1],3,3,"(6246, 11, 7984)",6.115124,[6.115124],"[({(6246, 4, 66)}, -0.5479191788687435, 'baseline'), ({(6246, 2, 31)}, -0.7718208570616821, 'baseline'), ({(6246, 3, 40)}, -1.0095256606329681, 'baseline'), ({(6246, 1, 1034)}, -1.0290885289201959, 'baseline'), ({(6246, 3, 6)}, -1.085315056304607, 'baseline'), ({(6246, 3, 149)}, -1.2018871676931815, 'baseline'), ({(6246, 3, 88)}, -1.3593310235622493, 'baseline'), ({(6246, 2, 172)}, -1.3886843872283159, 'baseline'), ({(6246, 2, 29)}, -1.5285367336229767, 'baseline'), ({(6246, 3, 92)}, -1.9843371878187241, 'baseline')]","[(6246, 4, 66), (22977, 4, 66), (22977, 11, 7984)]"
6.7241745,2.0,[2],1,3,"(4978, 11, 6729)",5.998893,[5.998893],"[({(4978, 4, 924)}, -0.8192607249142615, 'baseline'), ({(4978, 1, 264)}, -0.9501608743151758, 'baseline'), ({(4978, 2, 30)}, -1.0578477879192223, 'baseline'), ({(4978, 3, 40)}, -1.1771675523386111, 'baseline'), ({(4978, 3, 6)}, -1.3561607473370207, 'baseline'), ({(4978, 3, 41)}, -1.3683468437502322, 'baseline'), ({(4978, 2, 171)}, -1.4048252086580402, 'baseline'), ({(4978, 5, 4979)}, -1.4850827973148575, 'baseline'), ({(4978, 3, 75)}, -1.5963298799660897, 'baseline'), ({(4978, 3, 92)}, -1.6051877757623256, 'baseline')]","[(4978, 4, 924), (14726, 11, 6729), (14726, 4, 924)]"
9.283322,1.0,[1],1,3,"(7154, 9, 8418)",9.057423,[9.057423],"[({(7154, 2, 69)}, -0.3947154889052317, 'baseline'), ({(7154, 1, 65)}, -0.48773465526126963, 'baseline'), ({(7154, 4, 66)}, -0.6121739068485845, 'baseline'), ({(7154, 3, 73)}, -0.680822696487341, 'baseline'), ({(7154, 3, 40)}, -1.0031090720795206, 'baseline'), ({(7154, 3, 476)}, -1.0155510372049277, 'baseline'), ({(7154, 3, 9)}, -1.0457988115987353, 'baseline'), ({(7154, 3, 10)}, -1.0556853653228908, 'baseline'), ({(7154, 3, 479)}, -1.0953114917223907, 'baseline'), ({(7154, 3, 56)}, -1.1347106237487734, 'baseline')]","[(7154, 2, 69), (17052, 9, 8418), (17052, 2, 69)]"
6.4412184,2.0,[2],2,2,"(7177, 12, 9510)",6.9815645,[6.9815645],"[({(7177, 3, 9)}, -1.027390360138497, 'baseline'), ({(7177, 5, 7178)}, -1.0345978321444902, 'baseline'), ({(7177, 3, 78)}, -1.048903783625099, 'baseline'), ({(7177, 3, 10)}, -1.1673450731509674, 'baseline'), ({(7177, 2, 68)}, -1.207578826728841, 'baseline'), ({(7177, 3, 40)}, -1.3418309545688505, 'baseline'), ({(7177, 2, 31)}, -1.344768098500483, 'baseline'), ({(7177, 2, 30)}, -1.4288902822337364, 'baseline'), ({(7177, 3, 79)}, -1.4567254505374354, 'baseline'), ({(7177, 3, 39)}, -1.4579175314304742, 'baseline')]","[(9510, 3, 9), (7177, 3, 9)]"
9.5396805,1.0,[1],1,3,"(6219, 9, 7790)",10.237847,[10.237847],"[({(6219, 1, 864)}, -0.5204176429029643, 'baseline'), ({(6219, 3, 2558)}, -0.7174823380463197, 'baseline'), ({(6219, 2, 31)}, -0.8861062685174902, 'baseline'), ({(6219, 3, 78)}, -1.072418734181292, 'baseline'), ({(6219, 4, 485)}, -1.075808016604889, 'baseline'), ({(6219, 3, 75)}, -1.186940228720345, 'baseline'), ({(6219, 3, 4062)}, -1.1989004954295064, 'baseline'), ({(6219, 3, 4355)}, -1.213169244986325, 'baseline'), ({(6219, 3, 185)}, -1.2614958932957197, 'baseline'), ({(6219, 3, 386)}, -1.611050042621872, 'baseline')]","[(24118, 1, 864), (24118, 9, 7790), (6219, 1, 864)]"
8.565611,1.0,[1],1,3,"(6105, 9, 8339)",8.278686,[8.278686],"[({(6105, 1, 65)}, -0.6115798809889097, 'baseline'), ({(6105, 2, 728)}, -0.6629875033810386, 'baseline'), ({(6105, 4, 66)}, -0.7910775750628675, 'baseline'), ({(6105, 5, 6106)}, -0.8829156941841404, 'baseline'), ({(6105, 3, 506)}, -0.9050075613805059, 'baseline'), ({(6105, 2, 30)}, -0.9397325470368932, 'baseline'), ({(6105, 3, 6)}, -1.1532454923559385, 'baseline'), ({(6105, 3, 40)}, -1.1918443362076387, 'baseline'), ({(6105, 3, 75)}, -1.2481389022791447, 'baseline'), ({(6105, 3, 149)}, -1.296706793068344, 'baseline')]","[(24648, 9, 8339), (6105, 1, 65), (24648, 1, 65)]"
6.271142,1.0,[1],1,3,"(5334, 11, 6729)",5.648612,[5.648612],"[({(5334, 1, 264)}, -0.950158487395529, 'baseline'), ({(5334, 2, 31)}, -1.0176725369283035, 'baseline'), ({(5334, 2, 68)}, -1.1720716940869063, 'baseline'), ({(5334, 2, 172)}, -1.1833821036860173, 'baseline'), ({(5334, 3, 149)}, -1.255503909819766, 'baseline'), ({(5334, 2, 3483)}, -1.6357305124133046, 'baseline'), ({(5334, 3, 772)}, -1.848644642989326, 'baseline'), ({(5334, 3, 78)}, -1.8688806827512936, 'baseline'), ({(5334, 5, 5335)}, -1.8735043544588905, 'baseline'), ({(5334, 3, 9)}, -1.8946399492696266, 'baseline')]","[(24903, 1, 264), (5334, 1, 264), (24903, 11, 6729)]"
6.495025,1.0,[1],1,3,"(6812, 11, 7869)",6.5592585,[6.5592585],"[({(6812, 4, 66)}, -0.5193837706762334, 'baseline'), ({(6812, 2, 30)}, -0.6944835433649217, 'baseline'), ({(6812, 2, 68)}, -0.7945455778823711, 'baseline'), ({(6812, 2, 171)}, -1.0543610983116771, 'baseline'), ({(6812, 2, 172)}, -1.089037376558926, 'baseline'), ({(6812, 3, 7)}, -1.1566584627558405, 'baseline'), ({(6812, 2, 709)}, -1.1858784609251232, 'baseline'), ({(6812, 3, 10)}, -1.2222106000793076, 'baseline'), ({(6812, 3, 9)}, -1.3559382877730672, 'baseline'), ({(6812, 3, 78)}, -1.3701523073448374, 'baseline')]","[(22183, 11, 7869), (6812, 4, 66), (22183, 4, 66)]"
6.2951746,1.0,[1],1,2,"(5696, 11, 7984)",6.1477556,[6.1477556],"[({(5696, 2, 31)}, -0.7718208570616821, 'baseline'), ({(5696, 2, 30)}, -0.7827991915081297, 'baseline'), ({(5696, 2, 68)}, -0.7896138934414325, 'baseline'), ({(5696, 3, 10)}, -1.127440915697775, 'baseline'), ({(5696, 3, 78)}, -1.192800011579785, 'baseline'), ({(5696, 3, 7)}, -1.2921370653399786, 'baseline'), ({(5696, 3, 279)}, -1.3756424080705296, 'baseline'), ({(5696, 2, 27)}, -1.4925715868886085, 'baseline'), ({(5696, 3, 276)}, -1.52091364454959, 'baseline'), ({(5696, 3, 20)}, -1.5925737956754784, 'baseline')]","[(7984, 2, 31), (5696, 2, 31)]"
8.735666,1.0,[1],1,2,"(6848, 9, 11980)",8.728745,[8.728745],"[({(6848, 2, 2083)}, -0.29245679353372156, 'baseline'), ({(6848, 3, 629)}, -0.41653963866681926, 'baseline'), ({(6848, 2, 2082)}, -0.45607426285883246, 'baseline'), ({(6848, 3, 2084)}, -0.9719270346641053, 'baseline'), ({(6848, 1, 65)}, -1.2261566482801873, 'baseline'), ({(6848, 3, 4028)}, -1.334410333995083, 'baseline'), ({(6848, 3, 479)}, -1.461265085105243, 'baseline'), ({(6848, 3, 220)}, -1.4860236903111872, 'baseline'), ({(6848, 4, 66)}, -1.5161967513464902, 'baseline'), ({(6848, 3, 39)}, -1.5188543102480774, 'baseline')]","[(6848, 2, 2083), (11980, 2, 2083)]"
6.7899523,2.0,[2],1,3,"(5380, 11, 8038)",6.1576214,[6.1576214],"[({(5380, 4, 66)}, -0.5188720240433359, 'baseline'), ({(5380, 2, 68)}, -0.7530150580035792, 'baseline'), ({(5380, 2, 30)}, -0.774012091669546, 'baseline'), ({(5380, 3, 40)}, -1.0869984558555523, 'baseline'), ({(5380, 3, 9)}, -1.0891942857706503, 'baseline'), ({(5380, 3, 10)}, -1.1004085087357123, 'baseline'), ({(5380, 3, 220)}, -1.1880771630476143, 'baseline'), ({(5380, 3, 6)}, -1.2046501715000277, 'baseline'), ({(5380, 3, 476)}, -1.231629399209172, 'baseline'), ({(5380, 3, 37)}, -1.2689383688422498, 'baseline')]","[(25545, 11, 8038), (5380, 4, 66), (25545, 4, 66)]"
9.299835,2.0,[2],1,3,"(7933, 12, 8340)",7.9945164,[7.9945164],"[({(7933, 9, 6144)}, -0.6443619559369779, 'baseline'), ({(7933, 10, 7830)}, -0.6944319958315279, 'baseline'), ({(7933, 2, 30)}, -0.8292781178159448, 'baseline'), ({(7933, 2, 31)}, -0.8506278893601328, 'baseline'), ({(7933, 3, 6)}, -0.9681017266704556, 'baseline'), ({(7933, 2, 171)}, -0.9945572793351041, 'baseline'), ({(7933, 3, 41)}, -1.0032985071035818, 'baseline'), ({(7933, 8, 7393)}, -1.0106099476273906, 'baseline'), ({(7933, 8, 7427)}, -1.1645731132073616, 'baseline'), ({(7933, 3, 94)}, -1.184471730477083, 'baseline')]","[(7933, 9, 6144), (22756, 9, 6144), (22756, 12, 8340)]"
9.0881,1.0,[1],1,3,"(6914, 9, 7790)",9.049421,[9.049421],"[({(6914, 2, 29)}, -0.44359217293778713, 'baseline'), ({(6914, 4, 66)}, -0.6369437290228754, 'baseline'), ({(6914, 3, 33)}, -0.7525769306320709, 'baseline'), ({(6914, 3, 36)}, -0.7711173065449329, 'baseline'), ({(6914, 3, 39)}, -1.0241233011041027, 'baseline'), ({(6914, 3, 220)}, -1.1010373325215779, 'baseline'), ({(6914, 3, 6)}, -1.1040084248488187, 'baseline'), ({(6914, 3, 75)}, -1.186940228720345, 'baseline'), ({(6914, 2, 266)}, -1.2783924406018328, 'baseline'), ({(6914, 2, 28)}, -1.408654080499574, 'baseline')]","[(24118, 2, 29), (24118, 9, 7790), (6914, 2, 29)]"
6.3372664,3.0,[3],4,2,"(6633, 12, 8569)",6.994775,[6.994775],"[({(6633, 3, 1855)}, -1.1079520867036023, 'baseline'), ({(6633, 3, 1529)}, -1.1275363787023276, 'baseline'), ({(6633, 3, 2366)}, -1.2176803130131362, 'baseline'), ({(6633, 3, 914)}, -1.3288327355093812, 'baseline'), ({(6633, 3, 243)}, -1.4815585826642261, 'baseline'), ({(6633, 3, 39)}, -1.523621459445397, 'baseline'), ({(6633, 3, 78)}, -1.5252126658641292, 'baseline'), ({(6633, 3, 1024)}, -1.5348825037740041, 'baseline'), ({(6633, 3, 220)}, -1.5450540869483078, 'baseline'), ({(6633, 3, 4051)}, -1.546005410562463, 'baseline')]","[(8569, 3, 1855), (6633, 3, 1855)]"
8.065897,1.0,[1],1,3,"(4870, 9, 8151)",8.677877,[8.677877],"[({(4870, 2, 709)}, -0.5774275019375394, 'baseline'), ({(4870, 2, 888)}, -0.8044589738543181, 'baseline'), ({(4870, 2, 30)}, -0.8440474481088861, 'baseline'), ({(4870, 3, 890)}, -0.9879122729685876, 'baseline'), ({(4870, 3, 892)}, -1.0772317481179072, 'baseline'), ({(4870, 3, 40)}, -1.193339449426985, 'baseline'), ({(4870, 3, 88)}, -1.2085857039916315, 'baseline'), ({(4870, 1, 864)}, -1.2169362671530584, 'baseline'), ({(4870, 3, 7)}, -1.2370365976114523, 'baseline'), ({(4870, 3, 41)}, -1.3367558747649515, 'baseline')]","[(19769, 2, 709), (4870, 2, 709), (19769, 9, 8151)]"
7.925308,1.0,[1],1,3,"(6054, 9, 8151)",8.217521,[8.217521],"[({(6054, 2, 171)}, -0.45143157598397005, 'baseline'), ({(6054, 3, 177)}, -0.735974802389786, 'baseline'), ({(6054, 2, 30)}, -0.8440474481088861, 'baseline'), ({(6054, 3, 519)}, -0.8852597808907504, 'baseline'), ({(6054, 2, 31)}, -0.9317942593600667, 'baseline'), ({(6054, 3, 715)}, -1.0612105761123636, 'baseline'), ({(6054, 3, 712)}, -1.1741988010418845, 'baseline'), ({(6054, 1, 864)}, -1.2169389902307004, 'baseline'), ({(6054, 3, 952)}, -1.2837151881836315, 'baseline'), ({(6054, 3, 6059)}, -1.389069421295225, 'baseline')]","[(24307, 2, 171), (6054, 2, 171), (24307, 9, 8151)]"
6.122612,3.0,[3],2,3,"(7426, 11, 7984)",6.0070734,[6.0070734],"[({(7426, 1, 65)}, -0.5916535637705909, 'baseline'), ({(7426, 2, 31)}, -0.7718208570616821, 'baseline'), ({(7426, 2, 30)}, -0.7827970085048761, 'baseline'), ({(7426, 8, 7427)}, -0.8714558991879917, 'baseline'), ({(7426, 8, 7429)}, -0.8970730387576248, 'baseline'), ({(7426, 3, 40)}, -1.0095281127800013, 'baseline'), ({(7426, 8, 7428)}, -1.0167141923037968, 'baseline'), ({(7426, 3, 39)}, -1.094824035260104, 'baseline'), ({(7426, 3, 41)}, -1.3037739649978783, 'baseline'), ({(7426, 3, 75)}, -1.337048200603533, 'baseline')]","[(11495, 1, 65), (7426, 1, 65), (11495, 11, 7984)]"
7.914914,1.0,[1],1,2,"(5964, 12, 11744)",8.091844,[8.091844],"[({(5964, 3, 41)}, -1.2270757936502037, 'baseline'), ({(5964, 2, 30)}, -1.3960485228498758, 'baseline'), ({(5964, 3, 78)}, -1.4170883773771679, 'baseline'), ({(5964, 3, 6)}, -1.4305089263121158, 'baseline'), ({(5964, 2, 31)}, -1.450750371379178, 'baseline'), ({(5964, 3, 9)}, -1.4609749136256305, 'baseline'), ({(5964, 2, 68)}, -1.5016986690457939, 'baseline'), ({(5964, 3, 476)}, -1.5040913240778462, 'baseline'), ({(5964, 3, 5966)}, -1.5147244164242424, 'baseline'), ({(5964, 3, 10)}, -1.564517364174896, 'baseline')]","[(5964, 3, 41), (11744, 3, 41)]"
8.900803,1.0,[1],1,3,"(7382, 9, 8339)",8.823191,[8.823191],"[({(7382, 2, 1662)}, -0.5910589888305288, 'baseline'), ({(7382, 1, 65)}, -0.6115798809889097, 'baseline'), ({(7382, 2, 728)}, -0.6629875033810386, 'baseline'), ({(7382, 2, 30)}, -0.9397349230269989, 'baseline'), ({(7382, 4, 924)}, -1.124635384281096, 'baseline'), ({(7382, 3, 6)}, -1.1532428600318618, 'baseline'), ({(7382, 3, 1745)}, -1.1565615541373335, 'baseline'), ({(7382, 3, 7)}, -1.1664469782251168, 'baseline'), ({(7382, 3, 40)}, -1.1918443362076387, 'baseline'), ({(7382, 3, 2127)}, -1.272201292452105, 'baseline')]","[(22308, 2, 1662), (22308, 9, 8339), (7382, 2, 1662)]"
6.604808,1.0,[1],1,3,"(5844, 11, 7992)",5.88197,[5.88197],"[({(5844, 2, 31)}, -0.8157979301518908, 'baseline'), ({(5844, 2, 30)}, -0.8304213751318316, 'baseline'), ({(5844, 3, 78)}, -1.0219316466172808, 'baseline'), ({(5844, 3, 10)}, -1.0430374563460407, 'baseline'), ({(5844, 3, 75)}, -1.2675191410249629, 'baseline'), ({(5844, 3, 666)}, -1.4221211470636315, 'baseline'), ({(5844, 3, 185)}, -1.5403453958183555, 'baseline'), ({(5844, 3, 276)}, -1.5675766773092603, 'baseline'), ({(5844, 2, 2270)}, -1.5770671234183915, 'baseline'), ({(5844, 5, 5845)}, -1.7232350337420697, 'baseline')]","[(25411, 11, 7992), (5844, 2, 31), (25411, 2, 31)]"
7.416071,1.0,[1],1,3,"(6263, 11, 8038)",6.867631,[6.867631],"[({(6263, 1, 65)}, -0.5737164778337467, 'baseline'), ({(6263, 2, 68)}, -0.7530128527460099, 'baseline'), ({(6263, 2, 30)}, -0.774012091669546, 'baseline'), ({(6263, 2, 31)}, -0.7917619026684578, 'baseline'), ({(6263, 3, 10)}, -1.1004085087357123, 'baseline'), ({(6263, 3, 78)}, -1.1232031802820046, 'baseline'), ({(6263, 3, 651)}, -1.1958651493883357, 'baseline'), ({(6263, 3, 37)}, -1.2689411711528218, 'baseline'), ({(6263, 3, 1321)}, -1.286375599328194, 'baseline'), ({(6263, 3, 1493)}, -1.2930963652876275, 'baseline')]","[(25545, 1, 65), (25545, 11, 8038), (6263, 1, 65)]"
9.47781,1.0,[1],1,2,"(5920, 12, 8676)",8.91534,[8.91534],"[({(5920, 3, 748)}, -0.4256045559630638, 'baseline'), ({(5920, 3, 279)}, -0.5883554471128528, 'baseline'), ({(5920, 3, 40)}, -0.7167922593512702, 'baseline'), ({(5920, 2, 31)}, -0.7244139163187451, 'baseline'), ({(5920, 2, 30)}, -0.7286156362350833, 'baseline'), ({(5920, 3, 220)}, -0.734986361126461, 'baseline'), ({(5920, 3, 7)}, -0.7497789886132163, 'baseline'), ({(5920, 3, 39)}, -0.8071846217451656, 'baseline'), ({(5920, 3, 6)}, -0.8312560525174596, 'baseline'), ({(5920, 3, 10)}, -1.0659522821043024, 'baseline')]","[(8676, 3, 748), (5920, 3, 748)]"
6.532011,1.0,[1],1,3,"(6419, 9, 8339)",6.9380198,[6.9380198],"[({(6419, 2, 729)}, -0.6947432753601942, 'baseline'), ({(6419, 3, 506)}, -0.9050052206914897, 'baseline'), ({(6419, 2, 30)}, -0.9397325470368932, 'baseline'), ({(6419, 2, 31)}, -1.0168535182229883, 'baseline'), ({(6419, 2, 68)}, -1.0921783120682222, 'baseline'), ({(6419, 2, 266)}, -1.1966007840251054, 'baseline'), ({(6419, 3, 1348)}, -1.250099242191969, 'baseline'), ({(6419, 3, 39)}, -1.30620904192958, 'baseline'), ({(6419, 3, 41)}, -1.4186771404630747, 'baseline'), ({(6419, 3, 1744)}, -1.465019801838581, 'baseline')]","[(24001, 9, 8339), (6419, 2, 729), (24001, 2, 729)]"
5.4328356,2.0,[2],4,2,"(4757, 11, 7984)",5.9713454,[5.9713454],"[({(4757, 2, 31)}, -0.7718208570616821, 'baseline'), ({(4757, 2, 68)}, -0.7896117047990339, 'baseline'), ({(4757, 3, 40)}, -1.0095281127800013, 'baseline'), ({(4757, 3, 6)}, -1.0853100760568637, 'baseline'), ({(4757, 3, 10)}, -1.1274434591419107, 'baseline'), ({(4757, 3, 220)}, -1.1723410455444263, 'baseline'), ({(4757, 3, 149)}, -1.2018898686336827, 'baseline'), ({(4757, 2, 266)}, -1.2063116078301772, 'baseline'), ({(4757, 3, 504)}, -1.8281345613761117, 'baseline'), ({(4757, 3, 1019)}, -2.211715111914117, 'baseline')]","[(7984, 2, 31), (4757, 2, 31)]"
6.7546163,1.0,[1],1,2,"(4727, 11, 8038)",6.155244,[6.155244],"[({(4727, 2, 68)}, -0.7530150580035792, 'baseline'), ({(4727, 2, 30)}, -0.774012091669546, 'baseline'), ({(4727, 2, 31)}, -0.7917640930130195, 'baseline'), ({(4727, 3, 39)}, -1.069719348441073, 'baseline'), ({(4727, 1, 1034)}, -1.0717385007945397, 'baseline'), ({(4727, 3, 9)}, -1.0891942857706503, 'baseline'), ({(4727, 3, 10)}, -1.1004085087357123, 'baseline'), ({(4727, 3, 479)}, -1.1507941401429458, 'baseline'), ({(4727, 3, 220)}, -1.1880744820025768, 'baseline'), ({(4727, 3, 476)}, -1.2316321442055853, 'baseline')]","[(4727, 2, 68), (8038, 2, 68)]"
8.398724,1.0,[1],1,3,"(7769, 12, 8626)",8.566188,[8.566188],"[({(7769, 4, 66)}, -0.6897344445033974, 'baseline'), ({(7769, 3, 185)}, -0.7722311567629098, 'baseline'), ({(7769, 3, 219)}, -0.8254325910569271, 'baseline'), ({(7769, 3, 39)}, -0.8824341852183787, 'baseline'), ({(7769, 2, 68)}, -0.9346375205386627, 'baseline'), ({(7769, 2, 31)}, -0.9402943950414209, 'baseline'), ({(7769, 3, 40)}, -0.9532336701771658, 'baseline'), ({(7769, 3, 220)}, -0.9684196576602401, 'baseline'), ({(7769, 3, 479)}, -0.9770665594452165, 'baseline'), ({(7769, 3, 476)}, -1.046832507752104, 'baseline')]","[(22533, 12, 8626), (22533, 4, 66), (7769, 4, 66)]"
6.491535,2.0,[2],1,3,"(6853, 11, 8038)",6.277703,[6.277703],"[({(6853, 1, 65)}, -0.5737144388531203, 'baseline'), ({(6853, 2, 68)}, -0.753010693420466, 'baseline'), ({(6853, 2, 30)}, -0.774012091669546, 'baseline'), ({(6853, 2, 31)}, -0.7917619026684578, 'baseline'), ({(6853, 3, 651)}, -1.1958678416958701, 'baseline'), ({(6853, 3, 37)}, -1.2689383688422498, 'baseline'), ({(6853, 3, 1321)}, -1.286375599328194, 'baseline'), ({(6853, 3, 1493)}, -1.2930935243671946, 'baseline'), ({(6853, 3, 1839)}, -1.3228454156632787, 'baseline'), ({(6853, 2, 172)}, -1.3782859797295108, 'baseline')]","[(25545, 1, 65), (25545, 11, 8038), (6853, 1, 65)]"
6.6256256,2.0,[2],1,2,"(6437, 11, 8038)",6.135087,[6.135087],"[({(6437, 2, 68)}, -0.753010693420466, 'baseline'), ({(6437, 2, 30)}, -0.774012091669546, 'baseline'), ({(6437, 1, 2467)}, -0.9888699574033083, 'baseline'), ({(6437, 3, 651)}, -1.1958651493883357, 'baseline'), ({(6437, 3, 37)}, -1.2689411711528218, 'baseline'), ({(6437, 2, 312)}, -1.27498960826635, 'baseline'), ({(6437, 3, 75)}, -1.282497286644006, 'baseline'), ({(6437, 3, 1493)}, -1.2930963652876275, 'baseline'), ({(6437, 2, 29)}, -1.504084937874485, 'baseline'), ({(6437, 3, 91)}, -1.5927978720244378, 'baseline')]","[(6437, 2, 68), (8038, 2, 68)]"
9.563314,1.0,[1],1,3,"(5517, 9, 7903)",9.10592,[9.10592],"[({(5517, 2, 1323)}, -0.3413559015978492, 'baseline'), ({(5517, 3, 1005)}, -0.6328642138087777, 'baseline'), ({(5517, 3, 1123)}, -0.6524982208313053, 'baseline'), ({(5517, 1, 65)}, -0.7631900632497933, 'baseline'), ({(5517, 2, 30)}, -0.8595909739845243, 'baseline'), ({(5517, 2, 31)}, -0.9214420392847654, 'baseline'), ({(5517, 3, 1026)}, -1.0377256997501645, 'baseline'), ({(5517, 3, 75)}, -1.2050802014737394, 'baseline'), ({(5517, 3, 39)}, -1.230536268396679, 'baseline'), ({(5517, 3, 10)}, -1.256822361346727, 'baseline')]","[(24615, 9, 7903), (24615, 2, 1323), (5517, 2, 1323)]"
7.0910316,2.0,[2],2,2,"(5675, 11, 8038)",6.6725636,[6.6725636],"[({(5675, 2, 68)}, -0.7530128527460099, 'baseline'), ({(5675, 2, 30)}, -0.7740164434837796, 'baseline'), ({(5675, 3, 40)}, -1.0869984558555523, 'baseline'), ({(5675, 3, 10)}, -1.1004085087357123, 'baseline'), ({(5675, 3, 651)}, -1.1958678416958701, 'baseline'), ({(5675, 3, 6)}, -1.2046501715000277, 'baseline'), ({(5675, 3, 37)}, -1.2689356249014885, 'baseline'), ({(5675, 3, 1321)}, -1.286375599328194, 'baseline'), ({(5675, 3, 1493)}, -1.2930963652876275, 'baseline'), ({(5675, 3, 149)}, -1.322618639637977, 'baseline')]","[(8038, 2, 68), (5675, 2, 68)]"
8.5208435,1.0,[1],1,3,"(6566, 9, 7758)",8.833876,[8.833876],"[({(6566, 2, 486)}, -0.5414747266140805, 'baseline'), ({(6566, 2, 6567)}, -0.763825571902701, 'baseline'), ({(6566, 3, 489)}, -0.8976176838435691, 'baseline'), ({(6566, 3, 1687)}, -0.9199297423510421, 'baseline'), ({(6566, 1, 484)}, -1.0733100710359176, 'baseline'), ({(6566, 3, 6571)}, -1.1398379762095474, 'baseline'), ({(6566, 3, 3740)}, -1.1960496899952877, 'baseline'), ({(6566, 3, 1679)}, -1.1969914676197588, 'baseline'), ({(6566, 3, 6570)}, -1.2344784704239982, 'baseline'), ({(6566, 4, 924)}, -1.4883228627317062, 'baseline')]","[(23042, 9, 7758), (6566, 2, 486), (23042, 2, 486)]"
7.5059404,1.0,[1],1,3,"(6619, 11, 6729)",6.8464794,[6.8464794],"[({(6619, 2, 31)}, -1.017670126620552, 'baseline'), ({(6619, 2, 812)}, -1.1305579928440326, 'baseline'), ({(6619, 2, 172)}, -1.1833794293286568, 'baseline'), ({(6619, 3, 149)}, -1.255503909819766, 'baseline'), ({(6619, 2, 1166)}, -1.3033367679227161, 'baseline'), ({(6619, 3, 816)}, -1.3149430412467353, 'baseline'), ({(6619, 2, 132)}, -1.3372363328822074, 'baseline'), ({(6619, 2, 1165)}, -1.5261356501841423, 'baseline'), ({(6619, 3, 148)}, -1.5887795854050661, 'baseline'), ({(6619, 3, 1872)}, -1.6328609982962345, 'baseline')]","[(6619, 2, 31), (7882, 11, 6729), (7882, 2, 31)]"
5.655415,2.0,[2],2,3,"(5781, 11, 6729)",5.3383083,[5.3383083],"[({(5781, 1, 65)}, -0.7240712806161622, 'baseline'), ({(5781, 4, 66)}, -0.7887658349403625, 'baseline'), ({(5781, 2, 31)}, -1.017667665122971, 'baseline'), ({(5781, 2, 172)}, -1.1833821036860173, 'baseline'), ({(5781, 2, 1166)}, -1.3033367679227161, 'baseline'), ({(5781, 3, 41)}, -1.3683468437502322, 'baseline'), ({(5781, 2, 3278)}, -1.6646079040174466, 'baseline'), ({(5781, 3, 772)}, -1.8486486420443713, 'baseline'), ({(5781, 2, 2975)}, -1.8587354811993737, 'baseline'), ({(5781, 2, 131)}, -1.8867567953424684, 'baseline')]","[(24968, 1, 65), (24968, 11, 6729), (5781, 1, 65)]"
5.79963,1.0,[1],3,3,"(6976, 11, 7992)",6.1583633,[6.1583633],"[({(6976, 2, 68)}, -0.7732814990439172, 'baseline'), ({(6976, 2, 31)}, -0.8157956726093928, 'baseline'), ({(6976, 3, 9)}, -0.9950920321954482, 'baseline'), ({(6976, 3, 10)}, -1.0430350169620892, 'baseline'), ({(6976, 3, 40)}, -1.0984138451434504, 'baseline'), ({(6976, 3, 39)}, -1.1232984912639996, 'baseline'), ({(6976, 3, 476)}, -1.1678298117268928, 'baseline'), ({(6976, 3, 6)}, -1.1762833373664885, 'baseline'), ({(6976, 3, 220)}, -1.1818073250854804, 'baseline'), ({(6976, 2, 69)}, -1.4991498827934093, 'baseline')]","[(25411, 2, 68), (25411, 11, 7992), (6976, 2, 68)]"
6.3059583,3.0,[3],2,3,"(5834, 11, 6729)",5.7976117,[5.7976117],"[({(5834, 2, 31)}, -1.017670126620552, 'baseline'), ({(5834, 1, 1034)}, -1.1400068136835793, 'baseline'), ({(5834, 3, 40)}, -1.1771675523386111, 'baseline'), ({(5834, 2, 172)}, -1.1833821036860173, 'baseline'), ({(5834, 2, 789)}, -1.196458997685048, 'baseline'), ({(5834, 2, 1166)}, -1.3033339104266461, 'baseline'), ({(5834, 3, 6)}, -1.3561636939859727, 'baseline'), ({(5834, 3, 39)}, -1.370243798318062, 'baseline'), ({(5834, 2, 28)}, -1.444136662006979, 'baseline'), ({(5834, 3, 294)}, -1.7807631994494049, 'baseline')]","[(5834, 2, 31), (7882, 11, 6729), (7882, 2, 31)]"
