original_score,new_rank,new_ranks,original_rank,exp_length,prediction,new_score,new_scores,facts,exp
6.0124025,4.0,[4],1,3,"(6195, 9, 8721)",5.7077203,[5.7077203],"[({(6195, 2, 3219)}, -1.0828610047115275, 'baseline'), ({(6195, 3, 6197)}, -1.5180973172873837, 'baseline'), ({(6195, 2, 68)}, -1.5418519982525554, 'baseline'), ({(6195, 2, 31)}, -1.5596125541570758, 'baseline'), ({(6195, 3, 2022)}, -1.5836915054609688, 'baseline'), ({(6195, 3, 9)}, -1.5946529226000212, 'baseline'), ({(6195, 3, 78)}, -1.5967791828099964, 'baseline'), ({(6195, 1, 65)}, -1.6604802471957822, 'baseline'), ({(6195, 4, 66)}, -1.660664991055706, 'baseline'), ({(6195, 3, 40)}, -1.6703883393706997, 'baseline')]","[(6195, 2, 3219), (17030, 9, 8721), (17030, 2, 3219)]"
7.6262035,1.0,[1],1,2,"(5717, 9, 2010)",7.8156366,[7.8156366],"[({(5717, 2, 2011)}, -0.4801146613122518, 'baseline'), ({(5717, 2, 4760)}, -0.6712253891350627, 'baseline'), ({(5717, 3, 2014)}, -0.7078295389132002, 'baseline'), ({(5717, 3, 2013)}, -0.7698209483824018, 'baseline'), ({(5717, 3, 1345)}, -0.9547229560714853, 'baseline'), ({(5717, 3, 5723)}, -1.0810298848015856, 'baseline'), ({(5717, 3, 5728)}, -1.1713983995221806, 'baseline'), ({(5717, 3, 279)}, -1.6663085931047459, 'baseline'), ({(5717, 2, 30)}, -1.9999346835894845, 'baseline'), ({(5717, 2, 31)}, -2.0346370517816967, 'baseline')]","[(5717, 2, 2011), (2010, 2, 2011)]"
8.899089,1.0,[1],1,3,"(5179, 9, 13676)",8.75848,[8.75848],"[({(5179, 5, 5180)}, -0.40355967897995176, 'baseline'), ({(5179, 2, 5181)}, -0.4609047667138254, 'baseline'), ({(5179, 2, 2584)}, -0.5650221038142663, 'baseline'), ({(5179, 3, 5184)}, -0.6745697219303485, 'baseline'), ({(5179, 3, 5183)}, -0.676026691618458, 'baseline'), ({(5179, 3, 5185)}, -0.7190664959461113, 'baseline'), ({(5179, 3, 2586)}, -0.8139125136482964, 'baseline'), ({(5179, 3, 5182)}, -0.9164175262868259, 'baseline'), ({(5179, 3, 3291)}, -1.051645525329334, 'baseline'), ({(5179, 3, 1237)}, -1.56693556559271, 'baseline')]","[(5179, 5, 5180), (25809, 9, 13676), (25809, 5, 5180)]"
7.3935227,1.0,[1],1,3,"(4912, 11, 7869)",7.0160866,[7.0160866],"[({(4912, 4, 66)}, -0.5193878327315897, 'baseline'), ({(4912, 2, 68)}, -0.7945455778823711, 'baseline'), ({(4912, 3, 6)}, -0.9628374496958229, 'baseline'), ({(4912, 3, 40)}, -0.976221971325088, 'baseline'), ({(4912, 3, 7)}, -1.1566558257484645, 'baseline'), ({(4912, 3, 10)}, -1.2222106000793076, 'baseline'), ({(4912, 3, 220)}, -1.2249526543287022, 'baseline'), ({(4912, 3, 436)}, -1.419805097348217, 'baseline'), ({(4912, 3, 2044)}, -1.4230350780224088, 'baseline'), ({(4912, 3, 504)}, -1.4517612884241773, 'baseline')]","[(22183, 11, 7869), (22183, 4, 66), (4912, 4, 66)]"
8.629868,1.0,[1],1,2,"(6162, 9, 2010)",7.8343496,[7.8343496],"[({(6162, 2, 2011)}, -0.4801146613122518, 'baseline'), ({(6162, 3, 5727)}, -0.6453316459197914, 'baseline'), ({(6162, 2, 4760)}, -0.6712253891350627, 'baseline'), ({(6162, 3, 2017)}, -0.6799445436408782, 'baseline'), ({(6162, 3, 2014)}, -0.7078295389132002, 'baseline'), ({(6162, 3, 2013)}, -0.7698209483824018, 'baseline'), ({(6162, 3, 2012)}, -0.8257094875974215, 'baseline'), ({(6162, 3, 5730)}, -0.8785262460158085, 'baseline'), ({(6162, 3, 1517)}, -0.9018031523614133, 'baseline'), ({(6162, 3, 1345)}, -0.9547229560714853, 'baseline')]","[(2010, 2, 2011), (6162, 2, 2011)]"
8.731943,1.0,[1],1,3,"(7517, 9, 7759)",9.041918,[9.041918],"[({(7517, 1, 168)}, -0.4713675667966002, 'baseline'), ({(7517, 2, 2271)}, -0.6378416065978498, 'baseline'), ({(7517, 3, 4)}, -0.8755798944051164, 'baseline'), ({(7517, 3, 2279)}, -0.920095921661096, 'baseline'), ({(7517, 3, 293)}, -1.0195220492517783, 'baseline'), ({(7517, 3, 5934)}, -1.1549197953134285, 'baseline'), ({(7517, 3, 6)}, -1.203164770065376, 'baseline'), ({(7517, 3, 3121)}, -1.2041182107243615, 'baseline'), ({(7517, 3, 7521)}, -1.3878429555745238, 'baseline'), ({(7517, 3, 7520)}, -1.419823338679918, 'baseline')]","[(20525, 1, 168), (20525, 9, 7759), (7517, 1, 168)]"
9.054642,1.0,[1],1,3,"(5920, 9, 8418)",8.844036,[8.844036],"[({(5920, 2, 69)}, -0.3947174846446723, 'baseline'), ({(5920, 3, 111)}, -0.6357132361456248, 'baseline'), ({(5920, 3, 74)}, -0.7559895540523993, 'baseline'), ({(5920, 2, 30)}, -0.8284959382916905, 'baseline'), ({(5920, 2, 68)}, -0.8371132738107995, 'baseline'), ({(5920, 3, 40)}, -1.0031041823923537, 'baseline'), ({(5920, 3, 220)}, -1.0181739270498722, 'baseline'), ({(5920, 3, 9)}, -1.0457988115987353, 'baseline'), ({(5920, 3, 10)}, -1.0556878196047244, 'baseline'), ({(5920, 3, 6)}, -1.1329527667242256, 'baseline')]","[(17052, 9, 8418), (5920, 2, 69), (17052, 2, 69)]"
6.63501,1.0,[1],1,3,"(6822, 11, 7869)",7.071606,[7.071606],"[({(6822, 4, 66)}, -0.5193817610234489, 'baseline'), ({(6822, 1, 65)}, -0.632479065207177, 'baseline'), ({(6822, 2, 30)}, -0.6944813823597885, 'baseline'), ({(6822, 2, 68)}, -0.7945433852396686, 'baseline'), ({(6822, 3, 6)}, -0.9628374496958229, 'baseline'), ({(6822, 3, 40)}, -0.9762242856539369, 'baseline'), ({(6822, 3, 10)}, -1.2222133309810022, 'baseline'), ({(6822, 3, 220)}, -1.2249526543287022, 'baseline'), ({(6822, 3, 41)}, -1.2509671813625494, 'baseline'), ({(6822, 3, 9)}, -1.3559382877730672, 'baseline')]","[(6822, 4, 66), (22183, 11, 7869), (22183, 4, 66)]"
7.641706,2.0,[2],2,2,"(7365, 12, 6095)",7.8873444,[7.8873444],"[({(7365, 3, 277)}, -1.4044967792937877, 'baseline'), ({(7365, 3, 276)}, -1.4114415858491018, 'baseline'), ({(7365, 3, 6)}, -1.4610622539645348, 'baseline'), ({(7365, 3, 279)}, -1.493854451705874, 'baseline'), ({(7365, 3, 2226)}, -1.536472257872245, 'baseline'), ({(7365, 3, 7369)}, -1.5653174583070228, 'baseline'), ({(7365, 3, 7372)}, -1.5675699538716266, 'baseline'), ({(7365, 3, 5316)}, -1.5908264001062653, 'baseline'), ({(7365, 2, 30)}, -1.5928556230745836, 'baseline'), ({(7365, 3, 7)}, -1.6345080432904977, 'baseline')]","[(7365, 3, 277), (6095, 3, 277)]"
6.395771,2.0,[2],2,3,"(5110, 11, 6729)",5.988384,[5.988384],"[({(5110, 1, 65)}, -0.7240691431941377, 'baseline'), ({(5110, 2, 31)}, -1.017670126620552, 'baseline'), ({(5110, 2, 30)}, -1.0578477879192223, 'baseline'), ({(5110, 3, 39)}, -1.370243798318062, 'baseline'), ({(5110, 3, 75)}, -1.5963298799660897, 'baseline'), ({(5110, 3, 277)}, -1.6054446136908724, 'baseline'), ({(5110, 2, 788)}, -1.6585874955064517, 'baseline'), ({(5110, 3, 276)}, -1.7135246587673578, 'baseline'), ({(5110, 3, 185)}, -1.733202210909774, 'baseline'), ({(5110, 4, 1893)}, -1.735019155794578, 'baseline')]","[(5110, 1, 65), (24968, 11, 6729), (24968, 1, 65)]"
