original_rank,new_scores,original_score,new_rank,new_score,#facts,new_ranks,facts,prediction
1,"[6.550572, 6.4601336]",6.168879,1.0,6.505353,3,"[1, 1]","[(6504, 1, 65), (6504, 2, 68), (6504, 2, 30)]","(6504, 11, 7992)"
1,"[6.6937866, 6.4192743]",7.0618706,1.0,6.5565305,3,"[1, 1]","[(5411, 1, 65), (5411, 4, 66), (5411, 2, 31)]","(5411, 11, 8097)"
1,"[6.2476807, 6.7026687]",6.3387327,1.0,6.475175,3,"[1, 1]","[(6766, 4, 66), (6766, 1, 65), (6766, 2, 30)]","(6766, 11, 7992)"
1,"[9.853709, 9.499189]",9.634243,1.0,9.676449,3,"[1, 1]","[(7392, 1, 2467), (7392, 2, 29), (7392, 3, 33)]","(7392, 9, 7790)"
1,"[5.952443, 5.8596106]",6.138865,1.0,5.906027,3,"[1, 1]","[(7281, 2, 31), (7281, 2, 30), (7281, 3, 40)]","(7281, 11, 7992)"
1,"[8.271328, 8.465788]",8.809921,1.0,8.368558,3,"[1, 1]","[(6083, 2, 69), (6083, 4, 66), (6083, 3, 74)]","(6083, 9, 8418)"
1,"[6.3093624, 5.8045406]",6.4506083,2.0,6.0569515,3,"[1, 3]","[(7080, 1, 1054), (7080, 3, 460), (7080, 3, 519)]","(7080, 9, 6144)"
1,"[7.003446, 6.4387465]",7.26068,1.0,6.721096,3,"[1, 1]","[(4777, 1, 1054), (4777, 3, 519), (4777, 2, 31)]","(4777, 9, 6144)"
1,"[7.176759, 7.1476274]",7.057395,1.5,7.1621933,3,"[1, 2]","[(7407, 8, 7410), (7407, 4, 169), (7407, 2, 68)]","(7407, 11, 7869)"
2,"[8.499157, 7.8428373]",8.371053,1.5,8.170998,3,"[1, 2]","[(6300, 2, 171), (6300, 1, 168), (6300, 2, 30)]","(6300, 9, 8151)"
2,"[4.9385443, 4.9487486]",5.6012373,2.0,4.9436464,3,"[1, 3]","[(7125, 4, 66), (7125, 2, 31), (7125, 2, 68)]","(7125, 11, 7869)"
1,"[7.380283, 7.154409]",7.456912,1.0,7.267346,3,"[1, 1]","[(4978, 1, 264), (4978, 4, 924), (4978, 2, 30)]","(4978, 11, 90)"
1,"[5.4831142, 6.0427895]",6.6888194,2.0,5.762952,3,"[2, 2]","[(7426, 1, 65), (7426, 8, 7427), (7426, 8, 7429)]","(7426, 11, 8038)"
1,"[7.766961, 7.5636387]",8.089542,1.5,7.6653,3,"[1, 2]","[(6394, 3, 2586), (6394, 3, 113), (6394, 3, 2593)]","(6394, 9, 3917)"
1,"[5.6110754, 6.428529]",7.079462,3.0,6.019802,3,"[4, 2]","[(7868, 11, 7869), (7868, 1, 65), (7868, 2, 31)]","(7868, 11, 6729)"
1,"[6.7522993, 7.7625985]",7.6898937,1.0,7.257449,3,"[1, 1]","[(6115, 2, 31), (6115, 2, 68), (6115, 2, 209)]","(6115, 11, 6729)"
1,"[6.573486, 6.8655005]",7.2706003,1.0,6.719493,3,"[1, 1]","[(6263, 2, 729), (6263, 3, 2702), (6263, 3, 2034)]","(6263, 9, 9452)"
1,"[8.472866, 7.6668334]",8.630572,1.0,8.06985,3,"[1, 1]","[(5834, 2, 1166), (5834, 2, 789), (5834, 3, 1177)]","(5834, 9, 1470)"
1,"[9.419146, 9.374592]",9.556608,1.0,9.396869,3,"[1, 1]","[(7610, 3, 1123), (7610, 2, 68), (7610, 3, 1339)]","(7610, 9, 7903)"
1,"[7.92227, 8.602728]",8.600188,1.0,8.262499,3,"[1, 1]","[(6766, 2, 2083), (6766, 3, 629), (6766, 2, 2082)]","(6766, 9, 11980)"
1,"[5.4342885, 5.6440206]",5.666048,1.0,5.5391545,3,"[1, 1]","[(5067, 2, 31), (5067, 2, 30), (5067, 2, 68)]","(5067, 11, 7984)"
2,"[6.647548, 7.180246]",8.142027,3.0,6.913897,3,"[4, 2]","[(7628, 4, 66), (7628, 3, 279), (7628, 3, 40)]","(7628, 12, 8676)"
2,"[7.144005, 6.221368]",6.3907385,1.5,6.6826863,3,"[1, 2]","[(5200, 2, 30), (5200, 2, 31), (5200, 1, 1054)]","(5200, 11, 7869)"
1,"[6.773293, 6.2010236]",6.5092406,1.0,6.4871583,3,"[1, 1]","[(6246, 4, 66), (6246, 2, 30), (6246, 2, 31)]","(6246, 11, 90)"
1,"[6.7556696, 6.9977703]",7.808302,2.0,6.87672,3,"[2, 2]","[(5305, 3, 5315), (5305, 3, 5314), (5305, 3, 1952)]","(5305, 12, 9444)"
1,"[4.912314, 5.061387]",5.530306,2.0,4.9868507,3,"[2, 2]","[(4952, 2, 30), (4952, 2, 31), (4952, 1, 941)]","(4952, 11, 7869)"
