prediction,original_rank,new_rank,#facts,original_score,facts,new_scores,new_score,new_ranks
"(7574, 12, 8644)",1,3.5,6,8.558601,"[([(20674, 12, 8644), (7574, 3, 1148), (20674, 3, 1148)], 1.4274001, 'xrule'), ([(20674, 12, 8644), (20674, 5, 7575), (7574, 5, 7575)], 1.3997002, 'xrule'), ([(20674, 3, 7583), (20674, 12, 8644), (7574, 3, 7583)], 1.3738003, 'xrule'), ([(7574, 3, 1149), (7574, 3, 1148), (7574, 5, 7575), (7574, 3, 7581)], 0.7520971757562086, 'kelpie'), ([(7574, 3, 1149), (7574, 3, 1148), (7574, 5, 7575), (7574, 3, 1626)], 0.699132010703168, 'kelpie'), ([(7574, 3, 1149), (7574, 3, 1148), (7574, 3, 259), (7574, 5, 7575)], 0.6889563056437362, 'kelpie')]","[5.905883, 7.0953817]",6.5006323,"[5, 2]"
"(6246, 11, 7984)",3,2.0,6,5.7324796,"[([(25133, 11, 7984), (6246, 3, 7), (25133, 3, 7)], 0.81949997, 'xrule'), ([(16481, 4, 66), (6246, 4, 66), (16481, 11, 7984)], 0.49030018, 'xrule'), ([(6246, 3, 40), (15964, 11, 7984), (15964, 3, 40)], 0.48589993, 'xrule'), ([(6246, 4, 66), (6246, 3, 40), (6246, 3, 6), (6246, 3, 149)], 0.3292837554142844, 'kelpie'), ([(6246, 4, 66), (6246, 3, 40), (6246, 3, 6), (6246, 3, 88)], 0.30737642570927476, 'kelpie'), ([(6246, 4, 66), (6246, 3, 278), (6246, 3, 40), (6246, 3, 6)], 0.29291538511906307, 'kelpie')]","[5.8345594, 5.6276746]",5.7311172,"[1, 3]"
"(4978, 11, 6729)",1,3.5,6,6.7241745,"[([(4978, 3, 93), (4978, 3, 870), (4978, 4, 924), (4978, 3, 92)], 0.3468819076573793, 'kelpie'), ([(4978, 3, 93), (4978, 3, 870), (4978, 3, 92), (4978, 3, 40)], 0.29130462914897787, 'kelpie'), ([(4978, 1, 264), (4978, 3, 93), (4978, 3, 870), (4978, 3, 92)], 0.28300480155225755, 'kelpie'), ([(19035, 11, 6729), (4978, 3, 40), (19035, 3, 40)], 0.1473999, 'xrule'), ([(4978, 3, 40), (21394, 3, 40), (21394, 11, 6729)], 0.14389992, 'xrule'), ([(19035, 2, 172), (4978, 2, 172), (19035, 11, 6729)], 0.12479973, 'xrule')]","[5.0182652, 5.184835]",5.10155,"[4, 3]"
"(6327, 12, 8676)",2,8.0,6,7.3364105,"[([(6327, 3, 40), (6327, 3, 220), (6327, 3, 279), (6327, 3, 7)], 0.7067146753385058, 'kelpie'), ([(6327, 3, 220), (6327, 3, 6), (6327, 3, 279), (6327, 3, 7)], 0.6992092583640049, 'kelpie'), ([(6327, 3, 40), (6327, 3, 220), (6327, 3, 6), (6327, 3, 279)], 0.6809730977731908, 'kelpie'), ([(6327, 3, 279), (19207, 12, 8676), (19207, 3, 279)], 0.2652998, 'xrule'), ([(6327, 3, 279), (25448, 12, 8676), (25448, 3, 279)], 0.25220013, 'xrule'), ([(6327, 3, 279), (22349, 12, 8676), (22349, 3, 279)], 0.25199986, 'xrule')]","[5.249113, 6.123312]",5.6862125,"[10, 6]"
"(7177, 12, 9510)",2,113.5,6,6.4412184,"[([(20036, 12, 9510), (20036, 3, 9), (7177, 3, 9)], 1.3186007, 'xrule'), ([(7177, 3, 78), (20036, 12, 9510), (20036, 3, 78)], 1.3095007, 'xrule'), ([(20036, 3, 40), (7177, 3, 40), (20036, 12, 9510)], 1.2946005, 'xrule'), ([(7177, 3, 79), (7177, 3, 84)], 0.16995052550958736, 'kelpie'), ([(7177, 3, 79)], 0.110314409328694, 'kelpie'), ([(7177, 3, 84)], 0.09032444196386802, 'kelpie')]","[3.7749586, 3.3455658]",3.5602622,"[76, 151]"
"(7154, 9, 8418)",1,1.0,6,9.283322,"[([(7154, 1, 65), (7154, 3, 10), (7154, 2, 69), (7154, 3, 73)], 0.40995220542833627, 'kelpie'), ([(7154, 1, 65), (7154, 2, 69), (7154, 3, 40), (7154, 3, 73)], 0.40254501691312833, 'kelpie'), ([(7154, 1, 65), (7154, 2, 69), (7154, 3, 73), (7154, 4, 66)], 0.3976211964163962, 'kelpie'), ([(7154, 1, 65), (23960, 9, 8418), (23960, 1, 65)], 0.14009953, 'xrule'), ([(23960, 9, 8418), (23960, 3, 111), (7154, 3, 111)], 0.1392994, 'xrule'), ([(24581, 9, 8418), (24581, 3, 111), (7154, 3, 111)], 0.12010002, 'xrule')]","[8.362409, 8.871083]",8.616746,"[1, 1]"
"(6219, 9, 7790)",1,1.0,6,9.5396805,"[([(6219, 3, 185), (6219, 3, 78), (6219, 3, 75), (6219, 3, 2558)], 0.1777239248926344, 'kelpie'), ([(6219, 3, 78), (6219, 3, 75), (6219, 3, 2558), (6219, 1, 864)], 0.1730184957877902, 'kelpie'), ([(6219, 2, 31), (6219, 3, 185), (6219, 3, 78), (6219, 3, 2558)], 0.17135242675450982, 'kelpie'), ([(6219, 3, 100), (20237, 9, 7790), (20237, 3, 100)], 0.09589958, 'xrule'), ([(21168, 3, 2558), (6219, 3, 2558), (21168, 9, 7790)], 0.09299946, 'xrule'), ([(6219, 3, 100), (20150, 3, 100), (20150, 9, 7790)], 0.092199326, 'xrule')]","[9.5245285, 9.541891]",9.53321,"[1, 1]"
"(6105, 9, 8339)",1,1.5,6,8.565611,"[([(6105, 1, 65), (6105, 2, 728), (6105, 3, 6), (6105, 3, 506)], 0.43897346875493426, 'kelpie'), ([(6105, 1, 65), (6105, 2, 728), (6105, 3, 4500), (6105, 3, 506)], 0.43894104382348825, 'kelpie'), ([(6105, 2, 728), (6105, 3, 4500), (6105, 3, 6), (6105, 3, 506)], 0.4351654471886507, 'kelpie'), ([(14301, 9, 8339), (14301, 3, 506), (6105, 3, 506)], 0.2038002, 'xrule'), ([(14301, 9, 8339), (14301, 3, 747), (6105, 3, 747)], 0.1953001, 'xrule'), ([(22633, 9, 8339), (6105, 3, 506), (22633, 3, 506)], 0.19029999, 'xrule')]","[6.5325727, 7.6840134]",7.108293,"[2, 1]"
"(5334, 11, 6729)",1,4.0,6,6.271142,"[([(5334, 2, 3483), (5334, 3, 149), (5334, 3, 4514), (5334, 1, 264)], 0.3446250373824802, 'kelpie'), ([(5334, 3, 149), (5334, 3, 4514), (5334, 1, 264), (5334, 2, 31)], 0.33828596415278633, 'kelpie'), ([(5334, 3, 772), (5334, 3, 149), (5334, 3, 4514), (5334, 1, 264)], 0.325154345543385, 'kelpie'), ([(23138, 11, 6729), (5334, 3, 40), (23138, 3, 40)], 0.22450066, 'xrule'), ([(18403, 11, 6729), (5334, 3, 40), (18403, 3, 40)], 0.19720078, 'xrule'), ([(20195, 11, 6729), (20195, 3, 40), (5334, 3, 40)], 0.19000053, 'xrule')]","[5.1180296, 5.3728905]",5.24546,"[4, 4]"
"(6812, 11, 7869)",1,1.0,6,6.495025,"[([(6812, 3, 10), (9782, 3, 10), (9782, 11, 7869)], 0.40600014, 'xrule'), ([(21889, 11, 7869), (6812, 3, 7), (21889, 3, 7)], 0.3845005, 'xrule'), ([(6812, 3, 10), (6812, 3, 78), (6812, 2, 30), (6812, 3, 7)], 0.32535127934190533, 'kelpie'), ([(6812, 3, 10), (6812, 2, 30), (6812, 3, 7), (6812, 4, 66)], 0.3224463873393048, 'kelpie'), ([(6812, 3, 10), (6812, 2, 30), (6812, 3, 7), (6812, 3, 9)], 0.32108215622507447, 'kelpie'), ([(16648, 11, 7869), (6812, 3, 174), (16648, 3, 174)], 0.29540062, 'xrule')]","[5.966694, 6.101771]",6.034232,"[1, 1]"
"(5696, 11, 7984)",1,1.0,6,6.2951746,"[([(23697, 11, 7984), (5696, 3, 6), (23697, 3, 6)], 1.2691002, 'xrule'), ([(5696, 2, 31), (24893, 2, 31), (24893, 11, 7984)], 1.0823002, 'xrule'), ([(5696, 2, 31), (16982, 2, 31), (16982, 11, 7984)], 1.0236006, 'xrule'), ([(5696, 3, 10), (5696, 3, 78), (5696, 3, 20), (5696, 3, 108)], 0.25606922398510634, 'kelpie'), ([(5696, 3, 10), (5696, 3, 78), (5696, 3, 20), (5696, 3, 7)], 0.25605968726401557, 'kelpie'), ([(5696, 3, 10), (5696, 3, 78), (5696, 3, 20), (5696, 3, 279)], 0.2549953867053661, 'kelpie')]","[6.392226, 6.096743]",6.244485,"[1, 1]"
"(6848, 9, 11980)",1,1.0,6,8.735666,"[([(6848, 2, 2083), (6848, 3, 629), (6848, 3, 2084), (6848, 2, 2082)], 1.0312586346635308, 'kelpie'), ([(6848, 2, 2083), (6848, 3, 629), (6848, 3, 479), (6848, 2, 2082)], 0.8946943768613911, 'kelpie'), ([(6848, 2, 2083), (6848, 3, 4028), (6848, 3, 629), (6848, 2, 2082)], 0.8494625567920783, 'kelpie'), ([(6848, 3, 629), (22316, 9, 11980), (22316, 3, 629)], 0.30160046, 'xrule'), ([(6848, 3, 629), (22042, 9, 11980), (22042, 3, 629)], 0.29190063, 'xrule'), ([(6848, 3, 629), (23486, 3, 629), (23486, 9, 11980)], 0.28450012, 'xrule')]","[6.5208745, 6.4891343]",6.5050044,"[1, 1]"
"(5380, 11, 8038)",1,1.5,6,6.7899523,"[([(5380, 3, 10), (12402, 11, 8038), (12402, 3, 10)], 0.6594, 'xrule'), ([(9668, 11, 8038), (5380, 4, 66), (9668, 4, 66)], 0.60499954, 'xrule'), ([(5380, 3, 10), (8092, 3, 10), (8092, 11, 8038)], 0.53569984, 'xrule'), ([(5380, 3, 37), (5380, 3, 10), (5380, 3, 40), (5380, 3, 476)], 0.20671467056935497, 'kelpie'), ([(5380, 3, 37), (5380, 3, 10), (5380, 3, 40), (5380, 3, 9)], 0.2066202568055073, 'kelpie'), ([(5380, 3, 37), (5380, 3, 10), (5380, 3, 220), (5380, 3, 476)], 0.2053356575050774, 'kelpie')]","[6.4643784, 6.2441254]",6.354252,"[1, 2]"
"(7933, 12, 8340)",1,1.0,6,9.299835,"[([(7933, 3, 41), (7933, 3, 6), (7933, 3, 94), (7933, 3, 1335)], 0.19451336129278088, 'kelpie'), ([(7933, 3, 41), (7933, 3, 94), (7933, 3, 1024), (7933, 3, 1335)], 0.18536762458315914, 'kelpie'), ([(7933, 3, 41), (7933, 3, 94), (7933, 3, 1335), (7933, 3, 93)], 0.18147186495102066, 'kelpie'), ([(16645, 3, 6), (16645, 12, 8340), (7933, 3, 6), (16645, 11, 8340)], 0.16740036, 'xrule'), ([(16645, 3, 40), (16645, 12, 8340), (7933, 3, 40), (16645, 11, 8340)], 0.16569996, 'xrule'), ([(7933, 3, 149), (16645, 12, 8340), (16645, 3, 149), (16645, 11, 8340)], 0.15990067, 'xrule')]","[8.280808, 7.448038]",7.8644233,"[1, 1]"
"(6914, 9, 7790)",1,1.0,6,9.0881,"[([(6914, 2, 29), (6914, 3, 36), (6914, 3, 33), (6914, 3, 39)], 0.6892118903450282, 'kelpie'), ([(6914, 3, 220), (6914, 2, 29), (6914, 3, 36), (6914, 3, 33)], 0.6771440953906074, 'kelpie'), ([(6914, 3, 6916), (6914, 2, 29), (6914, 3, 36), (6914, 3, 33)], 0.6658182589999477, 'kelpie'), ([(6914, 3, 33), (24167, 3, 33), (24167, 9, 7790)], 0.21210003, 'xrule'), ([(6914, 3, 33), (22672, 3, 33), (22672, 9, 7790)], 0.20530033, 'xrule'), ([(6914, 3, 33), (22638, 3, 33), (22638, 9, 7790)], 0.20110035, 'xrule')]","[7.9328012, 7.9877644]",7.960283,"[1, 1]"
"(6633, 12, 8569)",4,3.5,3,6.3372664,"[([(6633, 3, 914), (6633, 3, 2366), (6633, 3, 1855), (6633, 3, 1529)], 0.6312637770116817, 'kelpie'), ([(6633, 3, 2366), (6633, 3, 1855), (6633, 3, 1529)], 0.4323735655880334, 'kelpie'), ([(6633, 3, 1855), (6633, 3, 1529), (6633, 3, 4051)], 0.38664583543452863, 'kelpie')]","[5.7842712, 5.4757557]",5.6300135,"[3, 4]"
"(4870, 9, 8151)",1,1.0,6,8.065897,"[([(4870, 2, 888), (4870, 3, 890), (4870, 3, 892), (4870, 2, 709)], 0.5161190460240709, 'kelpie'), ([(4870, 3, 890), (4870, 3, 892), (4870, 3, 4879), (4870, 2, 709)], 0.4891148037967466, 'kelpie'), ([(4870, 2, 888), (4870, 3, 890), (4870, 3, 892), (4870, 3, 4879)], 0.46781353404166537, 'kelpie'), ([(20181, 2, 171), (20181, 9, 8151), (4870, 2, 171)], 0.17970085, 'xrule'), ([(15245, 2, 171), (15245, 9, 8151), (4870, 2, 171)], 0.17730045, 'xrule'), ([(24100, 9, 8151), (24100, 3, 890), (4870, 3, 890)], 0.15010071, 'xrule')]","[7.0086007, 7.257024]",7.1328125,"[1, 1]"
"(6054, 9, 8151)",1,1.5,6,7.925308,"[([(6054, 2, 171), (6054, 3, 715), (6054, 3, 519), (6054, 3, 177)], 0.614818616873132, 'kelpie'), ([(6054, 2, 171), (6054, 3, 519), (6054, 3, 6059), (6054, 3, 177)], 0.6009598215641276, 'kelpie'), ([(6054, 3, 715), (6054, 3, 519), (6054, 3, 6059), (6054, 3, 177)], 0.5874500710252997, 'kelpie'), ([(20058, 9, 8151), (6054, 3, 177), (20058, 3, 177)], 0.24310017, 'xrule'), ([(19491, 9, 8151), (19491, 3, 177), (6054, 3, 177)], 0.23420048, 'xrule'), ([(25631, 9, 8151), (6054, 3, 177), (25631, 3, 177)], 0.22420025, 'xrule')]","[6.6167307, 7.2787952]",6.947763,"[2, 1]"
"(5964, 12, 11744)",1,2.0,6,7.914914,"[([(12809, 3, 50), (12809, 12, 11744), (5964, 3, 50)], 0.7564001, 'xrule'), ([(5964, 3, 41), (12809, 12, 11744), (12809, 3, 41)], 0.7397003, 'xrule'), ([(5964, 3, 5970), (12809, 12, 11744), (12809, 3, 5970)], 0.7343998, 'xrule'), ([(5964, 3, 41), (5964, 3, 6), (5964, 3, 9), (5964, 3, 5972)], 0.1199808522305216, 'kelpie'), ([(5964, 3, 41), (5964, 3, 6), (5964, 3, 5966), (5964, 3, 5972)], 0.11674312787789293, 'kelpie'), ([(5964, 3, 78), (5964, 3, 41), (5964, 3, 6), (5964, 3, 5972)], 0.11094478804709335, 'kelpie')]","[7.714958, 6.7009354]",7.207947,"[1, 3]"
"(7426, 11, 7984)",2,2.5,6,6.122612,"[([(22679, 11, 7984), (22679, 3, 41), (7426, 3, 41)], 0.4712, 'xrule'), ([(7426, 3, 41), (7426, 3, 39), (7426, 1, 65), (7426, 3, 40)], 0.40599111910452673, 'kelpie'), ([(7426, 2, 31), (7426, 3, 39), (7426, 1, 65), (7426, 3, 40)], 0.38699440338188584, 'kelpie'), ([(7426, 3, 39), (7426, 2, 30), (7426, 1, 65), (7426, 3, 40)], 0.38556866025295233, 'kelpie'), ([(23891, 11, 7984), (23891, 3, 6), (7426, 3, 6)], 0.23190022, 'xrule'), ([(23891, 11, 7984), (23891, 3, 58), (7426, 3, 58)], 0.16550064, 'xrule')]","[5.354475, 4.9323754]",5.143425,"[2, 3]"
"(7382, 9, 8339)",1,1.0,6,8.900803,"[([(7382, 3, 748), (7382, 2, 1662), (7382, 2, 728), (7382, 3, 1745)], 0.45063976676737627, 'kelpie'), ([(7382, 1, 65), (7382, 2, 1662), (7382, 2, 728), (7382, 3, 1745)], 0.4331674994681166, 'kelpie'), ([(7382, 3, 2127), (7382, 2, 1662), (7382, 2, 728), (7382, 3, 1745)], 0.4307461203582434, 'kelpie'), ([(24175, 9, 8339), (24175, 2, 1662), (7382, 2, 1662)], 0.19470024, 'xrule'), ([(7382, 3, 1664), (24175, 9, 8339), (24175, 3, 1664)], 0.18860054, 'xrule'), ([(21943, 3, 506), (7382, 3, 506), (21943, 9, 8339)], 0.18360043, 'xrule')]","[6.6721416, 7.155141]",6.913641,"[1, 1]"
"(5844, 11, 7992)",1,1.0,6,6.604808,"[([(5844, 3, 78), (5844, 3, 75), (5844, 3, 10), (5844, 3, 1151)], 0.2322225976015749, 'kelpie'), ([(5844, 3, 78), (5844, 3, 75), (5844, 2, 30), (5844, 3, 10)], 0.22694782496922858, 'kelpie'), ([(5844, 3, 78), (5844, 2, 30), (5844, 3, 10), (5844, 3, 1151)], 0.2264767098317272, 'kelpie'), ([(23503, 3, 9), (23503, 11, 7992), (5844, 3, 9)], 0.14120007, 'xrule'), ([(5844, 3, 479), (23503, 11, 7992), (23503, 3, 479)], -0.1566, 'xrule'), ([(23503, 3, 37), (23503, 11, 7992), (5844, 3, 37)], -0.27499962, 'xrule')]","[5.939994, 5.7668886]",5.853441,"[1, 1]"
"(6263, 11, 8038)",1,2.0,6,7.416071,"[([(25177, 3, 346), (6263, 3, 346), (25177, 11, 8038)], 0.5566006, 'xrule'), ([(9725, 3, 2697), (6263, 3, 2697), (9725, 11, 8038)], 0.54279995, 'xrule'), ([(20230, 3, 651), (20230, 11, 8038), (6263, 3, 651)], 0.3739004, 'xrule'), ([(6263, 3, 1493), (6263, 3, 651), (6263, 3, 1839), (6263, 3, 1321)], 0.31798557569666536, 'kelpie'), ([(6263, 3, 1838), (6263, 3, 651), (6263, 3, 1839), (6263, 3, 1321)], 0.3062477521336937, 'kelpie'), ([(6263, 3, 651), (6263, 3, 37), (6263, 3, 1839), (6263, 3, 1321)], 0.3026085309399938, 'kelpie')]","[6.120055, 6.344695]",6.232375,"[2, 2]"
"(5920, 12, 8676)",1,2.0,6,9.47781,"[([(5920, 3, 7), (5920, 3, 748), (5920, 3, 6), (5920, 3, 279)], 0.8273001189284623, 'kelpie'), ([(5920, 3, 7), (5920, 3, 748), (5920, 3, 220), (5920, 3, 279)], 0.8265810484936269, 'kelpie'), ([(5920, 3, 748), (5920, 3, 220), (5920, 3, 6), (5920, 3, 279)], 0.8265514845968528, 'kelpie'), ([(23192, 3, 748), (23192, 12, 8676), (5920, 3, 748)], 0.2177, 'xrule'), ([(8674, 3, 748), (8674, 12, 8676), (5920, 3, 748)], 0.21700001, 'xrule'), ([(24810, 12, 8676), (24810, 3, 748), (5920, 3, 748)], 0.21679974, 'xrule')]","[7.120881, 7.249885]",7.185383,"[2, 2]"
"(6419, 9, 8339)",1,3.0,6,6.532011,"[([(6419, 3, 506), (6419, 3, 1348), (6419, 3, 1744), (6419, 2, 729)], 0.5057473608555004, 'kelpie'), ([(6419, 3, 506), (6419, 3, 1744), (6419, 2, 729), (6419, 2, 30)], 0.49071268514377486, 'kelpie'), ([(6419, 3, 506), (6419, 3, 1744), (6419, 3, 20), (6419, 2, 729)], 0.48747591445759786, 'kelpie'), ([(6419, 3, 506), (19523, 9, 8339), (19523, 3, 506)], 0.2585001, 'xrule'), ([(6419, 2, 728), (19523, 9, 8339), (19523, 2, 728)], 0.2357006, 'xrule'), ([(6419, 3, 7), (19523, 9, 8339), (19523, 3, 7)], 0.23360062, 'xrule')]","[5.120532, 5.2595596]",5.190046,"[5, 1]"
"(4757, 11, 7984)",4,1.5,6,5.4328356,"[([(17411, 11, 7984), (4757, 2, 30), (17411, 2, 30)], 0.9244003, 'xrule'), ([(17411, 11, 7984), (4757, 3, 6), (17411, 3, 6)], 0.7350998, 'xrule'), ([(4757, 2, 30), (18740, 2, 30), (18740, 11, 7984)], 0.46730042, 'xrule'), ([(4757, 3, 10), (4757, 3, 40), (4757, 3, 6), (4757, 3, 149)], 0.446991485647005, 'kelpie'), ([(4757, 3, 10), (4757, 3, 40), (4757, 3, 220), (4757, 3, 6)], 0.44665436181120316, 'kelpie'), ([(4757, 3, 10), (4757, 3, 40), (4757, 3, 220), (4757, 3, 149)], 0.4330263556898237, 'kelpie')]","[5.8144765, 4.9605207]",5.387499,"[1, 2]"
"(4727, 11, 8038)",1,1.5,3,6.7546163,"[([(4727, 3, 479), (4727, 3, 476), (4727, 3, 39), (4727, 3, 220)], 0.28877739220793525, 'kelpie'), ([(4727, 3, 10), (4727, 3, 479), (4727, 3, 476), (4727, 3, 39)], 0.2884359768252585, 'kelpie'), ([(4727, 3, 479), (4727, 3, 476), (4727, 3, 9), (4727, 3, 39)], 0.27305320998134786, 'kelpie')]","[5.8465, 6.4679165]",6.1572084,"[2, 1]"
"(7769, 12, 8626)",1,6.5,6,8.398724,"[([(7769, 3, 39), (7769, 3, 479), (7769, 3, 219), (7769, 3, 185)], 0.6376553023672983, 'kelpie'), ([(7769, 3, 479), (7769, 3, 476), (7769, 3, 219), (7769, 3, 185)], 0.6335468733645852, 'kelpie'), ([(7769, 3, 479), (7769, 3, 219), (7769, 3, 277), (7769, 3, 185)], 0.6270542585400569, 'kelpie'), ([(21902, 12, 8626), (7769, 3, 219), (21902, 3, 219)], 0.28779984, 'xrule'), ([(21902, 12, 8626), (7769, 3, 185), (21902, 3, 185)], 0.27460003, 'xrule'), ([(7769, 3, 10), (21902, 3, 10), (21902, 12, 8626)], 0.19820023, 'xrule')]","[6.7212873, 6.168437]",6.4448624,"[5, 8]"
"(6853, 11, 8038)",1,2.0,6,6.491535,"[([(6853, 3, 1839), (6853, 3, 651), (6853, 3, 1493), (6853, 3, 1321)], 0.7955532540431802, 'kelpie'), ([(6853, 3, 1839), (6853, 3, 651), (6853, 3, 37), (6853, 3, 1321)], 0.789429711195067, 'kelpie'), ([(6853, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)], 0.77149963, 'xrule'), ([(6853, 3, 1839), (6853, 3, 651), (6853, 3, 1493), (6853, 3, 37)], 0.762958095875233, 'kelpie'), ([(20115, 3, 651), (20115, 11, 8038), (6853, 3, 651)], 0.5599003, 'xrule'), ([(6853, 3, 1839), (22601, 3, 1839), (22601, 11, 8038)], 0.5056, 'xrule')]","[5.14495, 5.3513517]",5.248151,"[2, 2]"
"(6437, 11, 8038)",1,2.0,6,6.6256256,"[([(6437, 2, 68), (25103, 11, 8038), (25103, 2, 68)], 0.7539005, 'xrule'), ([(6437, 3, 651), (6437, 3, 1493), (6437, 3, 37), (6437, 3, 75)], 0.5478897525244413, 'kelpie'), ([(6437, 3, 651), (6437, 3, 1493), (6437, 3, 37), (6437, 3, 3463)], 0.5405316782891434, 'kelpie'), ([(6437, 2, 68), (6437, 3, 651), (6437, 3, 1493), (6437, 3, 37)], 0.5396719408580599, 'kelpie'), ([(6437, 2, 68), (23703, 2, 68), (23703, 11, 8038)], 0.4765005, 'xrule'), ([(25103, 3, 37), (6437, 3, 37), (25103, 11, 8038)], 0.4598999, 'xrule')]","[5.407185, 5.844055]",5.62562,"[2, 2]"
"(5517, 9, 7903)",1,1.0,6,9.563314,"[([(5517, 3, 1005), (5517, 3, 1026), (5517, 2, 1323), (5517, 3, 1123)], 0.616042181071559, 'kelpie'), ([(5517, 3, 1005), (5517, 1, 65), (5517, 2, 1323), (5517, 3, 1123)], 0.5520954563239475, 'kelpie'), ([(5517, 3, 75), (5517, 3, 1005), (5517, 2, 1323), (5517, 3, 1123)], 0.5410747958308897, 'kelpie'), ([(21822, 3, 1123), (21822, 9, 7903), (5517, 3, 1123)], 0.18910027, 'xrule'), ([(21822, 3, 1005), (21822, 9, 7903), (5517, 3, 1005)], 0.16050053, 'xrule'), ([(24266, 9, 7903), (5517, 3, 1123), (24266, 3, 1123)], 0.15490055, 'xrule')]","[7.9907007, 8.153928]",8.072314,"[1, 1]"
"(5675, 11, 8038)",2,3.5,6,7.0910316,"[([(5675, 3, 1838), (18934, 3, 1838), (18934, 11, 8038)], 0.4548006, 'xrule'), ([(18934, 3, 1493), (5675, 3, 1493), (18934, 11, 8038)], 0.42370033, 'xrule'), ([(17562, 11, 8038), (5675, 1, 1054), (17562, 1, 1054)], 0.41900063, 'xrule'), ([(5675, 3, 1321), (5675, 3, 1839), (5675, 3, 1493), (5675, 3, 651)], 0.3394451553162796, 'kelpie'), ([(5675, 3, 1321), (5675, 3, 1839), (5675, 3, 1838), (5675, 3, 1493)], 0.3257456236285726, 'kelpie'), ([(5675, 3, 1839), (5675, 3, 1838), (5675, 3, 1493), (5675, 3, 651)], 0.321968119684495, 'kelpie')]","[5.4769926, 6.003153]",5.7400727,"[4, 3]"
"(6566, 9, 7758)",1,1.5,6,8.5208435,"[([(6566, 3, 1679), (6566, 3, 489), (6566, 3, 1687), (6566, 2, 486)], 0.9871244936381278, 'kelpie'), ([(6566, 3, 489), (6566, 2, 6567), (6566, 3, 1687), (6566, 2, 486)], 0.7939186562338354, 'kelpie'), ([(6566, 3, 489), (6566, 3, 1687), (6566, 3, 3740), (6566, 2, 486)], 0.7436809997975138, 'kelpie'), ([(15334, 9, 7758), (6566, 3, 489), (15334, 3, 489)], 0.57040024, 'xrule'), ([(15334, 9, 7758), (6566, 2, 486), (15334, 2, 486)], 0.57019997, 'xrule'), ([(15334, 9, 7758), (6566, 3, 1687), (15334, 3, 1687)], 0.5272999, 'xrule')]","[6.07374, 6.3613377]",6.217539,"[1, 2]"
"(6619, 11, 6729)",1,1.0,6,7.5059404,"[([(6619, 3, 149), (6619, 2, 812), (6619, 3, 1872), (6619, 3, 816)], 0.3047047070611457, 'kelpie'), ([(6619, 3, 149), (6619, 3, 1872), (6619, 3, 148), (6619, 3, 816)], 0.30168728149107576, 'kelpie'), ([(6619, 2, 812), (6619, 3, 1872), (6619, 3, 148), (6619, 3, 816)], 0.2981777600315884, 'kelpie'), ([(6619, 3, 40), (20090, 3, 40), (20090, 11, 6729)], 0.15810013, 'xrule'), ([(6619, 3, 40), (24840, 3, 40), (24840, 11, 6729)], 0.14930058, 'xrule'), ([(6619, 3, 40), (15932, 11, 6729), (15932, 3, 40)], 0.14799976, 'xrule')]","[6.6833696, 6.1215334]",6.4024515,"[1, 1]"
"(5781, 11, 6729)",2,3.0,6,5.655415,"[([(5781, 3, 2977), (5781, 2, 1166), (5781, 2, 2975), (5781, 1, 65)], 0.580214543878368, 'kelpie'), ([(5781, 3, 772), (5781, 3, 2977), (5781, 2, 1166), (5781, 1, 65)], 0.5692248777949505, 'kelpie'), ([(5781, 3, 772), (5781, 3, 2977), (5781, 2, 2975), (5781, 1, 65)], 0.5641107992178186, 'kelpie'), ([(24384, 1, 65), (24384, 11, 6729), (5781, 1, 65)], 0.29769993, 'xrule'), ([(23181, 11, 6729), (23181, 1, 65), (5781, 1, 65)], 0.29050064, 'xrule'), ([(10280, 11, 6729), (10280, 1, 65), (5781, 1, 65)], 0.28639984, 'xrule')]","[4.3762245, 4.261009]",4.318617,"[3, 3]"
"(6976, 11, 7992)",3,3.0,6,5.79963,"[([(6976, 3, 10), (6976, 3, 476), (6976, 3, 9), (6976, 3, 369)], 0.47815517843150357, 'kelpie'), ([(6976, 3, 40), (6976, 3, 476), (6976, 3, 9), (6976, 3, 369)], 0.425089401145241, 'kelpie'), ([(6976, 3, 220), (6976, 3, 476), (6976, 3, 9), (6976, 3, 369)], 0.42189125427182234, 'kelpie'), ([(18666, 11, 7992), (6976, 3, 40), (18666, 3, 40)], -0.5274, 'xrule'), ([(6976, 3, 39), (18666, 11, 7992), (18666, 3, 39)], -0.59030056, 'xrule'), ([(23909, 3, 78), (6976, 3, 78), (23909, 11, 7992)], -0.6646004, 'xrule')]","[5.899254, 5.265008]",5.582131,"[3, 3]"
