prediction,original_rank,new_rank,#facts,original_score,facts,new_scores,new_score,new_ranks
"(6195, 9, 8721)",1,40.0,6,6.0124025,"[([(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)], 0.7607994, 'xrule'), ([(6195, 2, 31), (25757, 2, 31), (25757, 9, 8721)], 0.6313, 'xrule'), ([(25757, 1, 65), (25757, 9, 8721), (6195, 1, 65)], 0.6264, 'xrule'), ([(6195, 3, 2021), (6195, 3, 6197), (6195, 2, 31), (6195, 2, 3219)], 0.5998602350506599, 'kelpie'), ([(6195, 1, 65), (6195, 3, 2021), (6195, 3, 6197), (6195, 2, 3219)], 0.5795612769717406, 'kelpie'), ([(6195, 3, 2021), (6195, 3, 6200), (6195, 2, 31), (6195, 2, 3219)], 0.5684857801824845, 'kelpie')]","[3.7177458, 2.7562742]",3.23701,"[29, 51]"
"(5717, 9, 2010)",1,2.5,6,7.6262035,"[([(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)], 0.46399975, 'xrule'), ([(5717, 3, 2013), (5717, 2, 2011), (5717, 3, 2014), (5717, 3, 1345)], 0.43811420823181996, 'kelpie'), ([(5717, 2, 2011), (23410, 2, 2011), (23410, 9, 2010)], 0.43190002, 'xrule'), ([(5717, 3, 2013), (5717, 2, 2011), (5717, 3, 2014), (5717, 3, 279)], 0.4306230964122636, 'kelpie'), ([(5717, 3, 2013), (5717, 2, 2011), (5717, 3, 2014), (5717, 2, 4760)], 0.4184675634374815, 'kelpie'), ([(5717, 3, 40), (23410, 9, 2010), (23410, 3, 40)], 0.40509987, 'xrule')]","[5.995872, 5.4966784]",5.746275,"[3, 2]"
"(5179, 9, 13676)",1,1.5,6,8.899089,"[([(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)], 0.4864006, 'xrule'), ([(5179, 3, 113), (25534, 9, 13676), (25534, 3, 113)], 0.4758997, 'xrule'), ([(25534, 9, 13676), (25534, 3, 9), (5179, 3, 9)], 0.46460056, 'xrule'), ([(5179, 3, 2586), (5179, 2, 2584), (5179, 5, 5180), (5179, 2, 5181)], 0.3745575365139139, 'kelpie'), ([(5179, 3, 2586), (5179, 2, 2584), (5179, 5, 5180), (5179, 3, 78)], 0.3474064285220882, 'kelpie'), ([(5179, 3, 2586), (5179, 2, 2584), (5179, 2, 5181), (5179, 3, 78)], 0.3397417480070373, 'kelpie')]","[6.9459324, 6.0323315]",6.489132,"[1, 2]"
"(4912, 11, 7869)",1,3.5,6,7.3935227,"[([(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)], 0.53200054, 'xrule'), ([(23412, 11, 7869), (23412, 3, 2043), (4912, 3, 2043)], 0.49740028, 'xrule'), ([(4912, 3, 75), (24926, 3, 75), (24926, 11, 7869)], 0.4116001, 'xrule'), ([(4912, 3, 2044), (4912, 3, 436), (4912, 3, 2043), (4912, 3, 6)], 0.3842182574354586, 'kelpie'), ([(4912, 3, 2044), (4912, 3, 436), (4912, 3, 2043), (4912, 3, 504)], 0.3792496142332676, 'kelpie'), ([(4912, 3, 2044), (4912, 3, 436), (4912, 3, 2043), (4912, 3, 7)], 0.3762779650355318, 'kelpie')]","[6.1907797, 5.505606]",5.848193,"[3, 4]"
"(6162, 9, 2010)",1,1.0,6,8.629868,"[([(6162, 3, 2017), (6162, 3, 40), (6162, 3, 149), (6162, 3, 88)], 0.35610203105682237, 'kelpie'), ([(6162, 3, 5727), (6162, 3, 40), (6162, 3, 149), (6162, 3, 88)], 0.3493347580359347, 'kelpie'), ([(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)], 0.34810066, 'xrule'), ([(18479, 9, 2010), (6162, 2, 30), (18479, 2, 30)], 0.34600067, 'xrule'), ([(6162, 2, 2011), (6162, 3, 40), (6162, 3, 149), (6162, 3, 88)], 0.3441925460632639, 'kelpie'), ([(18479, 9, 2010), (18479, 3, 6), (6162, 3, 6)], 0.33530045, 'xrule')]","[7.043379, 6.4516983]",6.7475386,"[1, 1]"
"(7517, 9, 7759)",1,1.0,6,8.731943,"[([(7517, 3, 4), (7517, 1, 168), (7517, 3, 2279), (7517, 2, 2271)], 0.43383221049432286, 'kelpie'), ([(7517, 3, 4), (7517, 1, 168), (7517, 3, 5934), (7517, 3, 2279)], 0.4305506171570337, 'kelpie'), ([(7517, 3, 4), (7517, 1, 168), (7517, 3, 293), (7517, 3, 2279)], 0.4276161612215729, 'kelpie'), ([(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)], 0.20429993, 'xrule'), ([(7517, 3, 4), (15740, 9, 7759), (15740, 3, 4)], 0.20390034, 'xrule'), ([(15740, 1, 168), (15740, 9, 7759), (7517, 1, 168)], 0.20040035, 'xrule')]","[7.742732, 7.7751193]",7.7589254,"[1, 1]"
"(5920, 9, 8418)",1,1.0,6,9.054642,"[([(5920, 3, 111), (5920, 3, 532), (5920, 3, 74), (5920, 2, 69)], 0.4505215111669616, 'kelpie'), ([(5920, 3, 111), (5920, 3, 10), (5920, 3, 74), (5920, 2, 69)], 0.4361677588895831, 'kelpie'), ([(5920, 3, 111), (5920, 3, 74), (5920, 2, 69), (5920, 3, 9)], 0.41593174341051214, 'kelpie'), ([(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)], 0.1534996, 'xrule'), ([(25812, 9, 8418), (25812, 3, 111), (5920, 3, 111)], 0.15069962, 'xrule'), ([(22405, 3, 111), (22405, 9, 8418), (5920, 3, 111)], 0.14039993, 'xrule')]","[8.370325, 8.320133]",8.345229,"[1, 1]"
"(6822, 11, 7869)",1,3.0,6,6.63501,"[([(6822, 3, 2044), (6822, 3, 436), (6822, 3, 2043), (6822, 3, 6)], 0.5031509825285259, 'kelpie'), ([(6822, 3, 2044), (6822, 3, 436), (6822, 3, 2043), (6822, 3, 40)], 0.5002742239285665, 'kelpie'), ([(6822, 3, 2044), (6822, 3, 436), (6822, 3, 2043), (6822, 3, 1112)], 0.4977970548538091, 'kelpie'), ([(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)], 0.18109989, 'xrule'), ([(6822, 3, 436), (17096, 11, 7869), (17096, 3, 436)], 0.10560036, 'xrule'), ([(6822, 3, 436), (23983, 11, 7869), (23983, 3, 436)], 0.067700386, 'xrule')]","[5.618226, 5.357522]",5.487874,"[4, 2]"
"(7365, 12, 6095)",2,111.5,6,7.641706,"[([(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)], 2.2503, 'xrule'), ([(16696, 3, 7), (7365, 3, 7), (16696, 12, 6095)], 2.2185001, 'xrule'), ([(16696, 3, 276), (7365, 3, 276), (16696, 12, 6095)], 2.2147002, 'xrule'), ([(7365, 3, 6), (7365, 3, 277), (7365, 3, 2226), (7365, 3, 279)], 0.2691383769150275, 'kelpie'), ([(7365, 3, 6), (7365, 3, 91), (7365, 3, 2226), (7365, 3, 279)], 0.26736835734007613, 'kelpie'), ([(7365, 3, 6), (7365, 3, 91), (7365, 3, 277), (7365, 3, 279)], 0.26536897918090435, 'kelpie')]","[2.9615097, 3.6981616]",3.3298357,"[151, 72]"
"(5110, 11, 6729)",2,2.5,6,6.395771,"[([(5110, 2, 788), (5110, 3, 2040), (5110, 3, 5115), (5110, 1, 65)], 0.34735683749616075, 'kelpie'), ([(5110, 2, 788), (5110, 3, 2031), (5110, 3, 2040), (5110, 1, 65)], 0.34144977871242893, 'kelpie'), ([(5110, 2, 788), (5110, 3, 2031), (5110, 3, 5115), (5110, 1, 65)], 0.338588755728481, 'kelpie'), ([(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)], 0.18410015, 'xrule'), ([(5110, 1, 65), (25172, 11, 6729), (25172, 1, 65)], 0.17850018, 'xrule'), ([(24053, 3, 40), (5110, 3, 40), (24053, 11, 6729)], 0.17140007, 'xrule')]","[5.727365, 4.8384666]",5.282916,"[2, 3]"
"(7655, 11, 8038)",1,1.0,6,6.992312,"[([(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)], 0.6907997, 'xrule'), ([(7655, 3, 220), (7655, 3, 479), (7655, 3, 476), (7655, 3, 39)], 0.3981714664618846, 'kelpie'), ([(7655, 3, 10), (7655, 3, 479), (7655, 3, 476), (7655, 3, 39)], 0.3905439792020215, 'kelpie'), ([(7655, 3, 10), (7655, 3, 220), (7655, 3, 479), (7655, 3, 39)], 0.38801483491316574, 'kelpie'), ([(21168, 3, 39), (21168, 11, 8038), (7655, 3, 39)], 0.21819973, 'xrule'), ([(7655, 3, 40), (13114, 11, 8038), (13114, 3, 40)], 0.20129967, 'xrule')]","[6.3141317, 6.2362595]",6.2751956,"[1, 1]"
