new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[2, 2]",2.0,"[7.012749, 6.957205]","[(19548, 11, 8038), (6213, 3, 2132), (19548, 3, 2132), (6213, 3, 1839), (25070, 11, 8038), (25070, 3, 1839), (6213, 4, 485), (14153, 4, 485), (14153, 11, 8038)]","(6213, 11, 8038)",2,9,7.5643873,all,6.984977
"[4, 2]",3.0,"[6.9662185, 7.328677]","[(7628, 3, 2816), (24360, 12, 4492), (24360, 3, 40), (7628, 3, 40), (7628, 3, 279), (23877, 3, 279), (23877, 12, 4492)]","(7628, 12, 4492)",2,7,8.398114,all,7.1474476
"[1, 1]",1.0,"[8.437576, 8.809553]","[(12131, 9, 8418), (12131, 3, 73), (6083, 3, 73), (24123, 3, 73), (6083, 3, 73), (24123, 9, 8418), (6083, 3, 73), (17908, 9, 8418), (17908, 3, 73)]","(6083, 9, 8418)",1,9,8.809921,all,8.623565
"[3, 3]",3.0,"[7.0614805, 6.8847256]","[(12809, 3, 50), (12809, 12, 11744), (5964, 3, 50), (5964, 3, 41), (12809, 12, 11744), (12809, 3, 41), (5964, 3, 5970), (12809, 12, 11744), (12809, 3, 5970)]","(5964, 12, 11744)",1,9,7.914914,all,6.973103
"[1, 1]",1.0,"[8.151116, 7.8262563]","[(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470), (6885, 3, 516), (12340, 3, 516), (12340, 9, 1470), (6885, 2, 1166), (14626, 9, 1470), (14626, 2, 1166)]","(6885, 9, 1470)",1,9,9.047374,all,7.9886866
"[1, 1]",1.0,"[6.7885046, 6.584168]","[(6812, 3, 10), (9782, 3, 10), (9782, 11, 7869), (21889, 11, 7869), (6812, 3, 7), (21889, 3, 7), (16648, 11, 7869), (6812, 3, 174), (16648, 3, 174)]","(6812, 11, 7869)",1,9,6.495025,all,6.6863365
"[1, 1]",1.0,"[6.536683, 6.4073763]","[(23697, 11, 7984), (5696, 3, 6), (23697, 3, 6), (5696, 2, 31), (24893, 2, 31), (24893, 11, 7984), (5696, 2, 31), (16982, 2, 31), (16982, 11, 7984)]","(5696, 11, 7984)",1,9,6.2951746,all,6.4720297
"[1, 1]",1.0,"[8.650978, 6.6083584]","[(15334, 9, 7758), (6566, 3, 489), (15334, 3, 489), (15334, 9, 7758), (6566, 2, 486), (15334, 2, 486), (15334, 9, 7758), (6566, 3, 1687), (15334, 3, 1687)]","(6566, 9, 7758)",1,9,8.5208435,all,7.629668
"[1, 1]",1.0,"[5.572009, 6.174939]","[(8347, 11, 7992), (8347, 11, 7992), (5279, 2, 31), (8347, 2, 31), (25096, 11, 7992)]","(5279, 11, 7992)",1,5,5.8608837,all,5.873474
"[1, 1]",1.0,"[6.6214466, 6.893758]","[(22455, 11, 7869), (22455, 2, 266), (5200, 2, 266), (8525, 11, 7869), (8525, 2, 31), (5200, 2, 31), (13848, 11, 7869), (13848, 2, 31), (5200, 2, 31)]","(5200, 11, 7869)",2,9,6.3907385,all,6.757602
