prediction,new_scores,new_ranks,facts,new_score,new_rank,#facts,original_score,original_rank
"(5920, 10, 7830)","[2.813782, 3.048994]","[1, 1]","[(5920, 3, 593), (5920, 3, 6), (5920, 3, 748)]",2.931388,1.0,3,3.567545,5
"(7107, 11, 7869)","[2.5704987, 3.6537313]","[3, 1]","[(7107, 3, 40), (7107, 2, 68), (7107, 3, 34)]",3.112115,2.0,3,2.672183,1
"(7756, 10, 7830)","[3.02374, 3.0515642]","[1, 1]","[(7756, 8, 7429), (7756, 3, 92), (7756, 3, 1714), (7756, 8, 7429)]",3.037652,1.0,4,2.9227967,5
"(6320, 11, 7956)","[2.3257303, 3.5325418]","[1, 1]","[(6320, 3, 40), (6320, 3, 1477), (6320, 3, 73)]",2.929136,1.0,3,2.8491967,2
"(5822, 11, 7956)","[2.3504696, 3.440914]","[1, 1]","[(5822, 3, 476), (5822, 2, 29), (5822, 3, 2355)]",2.8956919,1.0,3,2.6253808,1
"(5279, 11, 7956)","[2.4783745, 3.5323734]","[1, 1]","[(5279, 3, 2459), (5279, 3, 1964), (5279, 3, 5293)]",3.005374,1.0,3,3.3306432,1
"(7125, 11, 7956)","[2.6460125, 3.7208605]","[1, 1]","[(7125, 3, 9), (7125, 3, 2585), (7125, 3, 3454)]",3.1834364,1.0,3,3.6683598,3
"(4870, 8, 7567)","[2.4625826, 2.78833]","[4, 4]","[(4870, 2, 30), (4870, 3, 88), (4870, 3, 4876)]",2.6254563,4.0,3,5.0585365,2
"(5517, 10, 7830)","[2.8088775, 2.981926]","[1, 1]","[(5517, 3, 731), (5517, 3, 1005), (5517, 3, 1005), (5517, 3, 78)]",2.8954017,1.0,4,3.568142,5
"(6213, 10, 7830)","[2.7314196, 2.9285066]","[1, 1]","[(6213, 3, 75), (6213, 3, 1966), (6213, 3, 651)]",2.8299632,1.0,3,3.2811787,5
"(6373, 11, 7869)","[2.6510658, 3.9075565]","[3, 2]","[(6373, 1, 65), (6373, 3, 731), (6373, 3, 3669)]",3.2793112,2.5,3,3.463342,2
"(6966, 10, 7830)","[2.8128705, 3.197749]","[1, 1]","[(6966, 3, 185), (6966, 3, 3878), (6966, 2, 31)]",3.0053096,1.0,3,3.772318,4
"(7450, 11, 7956)","[2.3772182, 3.452262]","[1, 1]","[(7450, 3, 370), (7450, 3, 1630), (7450, 3, 6637)]",2.91474,1.0,3,2.4277787,1
"(7177, 10, 7830)","[2.8062737, 2.9805658]","[1, 1]","[(7177, 4, 169), (7177, 3, 39), (7177, 3, 10), (7177, 4, 169)]",2.8934197,1.0,4,3.7173736,5
"(5907, 11, 7956)","[2.8954363, 3.7622333]","[1, 1]","[(5907, 3, 712), (5907, 2, 30), (5907, 3, 711)]",3.3288348,1.0,3,3.9130654,7
"(7335, 8, 7410)","[2.14697, 2.5183291]","[1, 1]","[(7335, 4, 66), (7335, 3, 391), (7335, 3, 1270)]",2.3326497,1.0,3,5.0394883,2
"(5645, 8, 7429)","[2.1236281, 2.6210089]","[1, 3]","[(5645, 3, 5661), (5645, 3, 630), (5645, 3, 10)]",2.3723185,2.0,3,4.9103956,6
"(6966, 11, 7956)","[2.4996555, 3.7373834]","[1, 1]","[(6966, 2, 2270), (6966, 3, 6969), (6966, 2, 2270), (6966, 2, 2270), (6966, 3, 297)]",3.1185193,1.0,5,3.4898267,3
"(6900, 8, 7566)","[2.474212, 2.7971692]","[5, 4]","[(6900, 3, 6902), (6900, 3, 939), (6900, 3, 4052)]",2.6356907,4.5,3,5.7092123,1
"(7065, 10, 7830)","[2.7790513, 2.9636593]","[1, 1]","[(7065, 5, 7066), (7065, 2, 2584), (7065, 2, 68)]",2.8713553,1.0,3,3.4794037,5
"(5533, 8, 7429)","[2.1958933, 2.5038965]","[1, 1]","[(5533, 3, 5535), (5533, 3, 352), (5533, 3, 5545)]",2.349895,1.0,3,4.629287,1
"(5907, 8, 7566)","[2.552274, 2.8732905]","[4, 3]","[(5907, 3, 712), (5907, 3, 711), (5907, 3, 4204), (5907, 3, 712), (5907, 3, 712), (5907, 3, 1552), (5907, 3, 5919)]",2.7127824,3.5,7,5.352762,1
"(7125, 11, 7869)","[2.8364542, 3.882965]","[2, 1]","[(7125, 3, 10), (7125, 3, 7126), (7125, 3, 219)]",3.3597097,1.5,3,3.5670092,3
"(6394, 8, 7427)","[2.0707955, 2.4619026]","[3, 1]","[(6394, 3, 891), (6394, 3, 1839), (6394, 3, 1839), (6394, 3, 6398)]",2.266349,2.0,4,3.8982012,1
"(7426, 11, 7956)","[2.621994, 3.6944804]","[1, 1]","[(7426, 1, 65), (7426, 4, 1577), (7426, 3, 277)]",3.1582372,1.0,3,3.2648082,3
"(7655, 11, 7956)","[2.614356, 3.5445116]","[1, 1]","[(7655, 3, 39), (7655, 3, 3267), (7655, 8, 7427)]",3.079434,1.0,3,2.9549463,3
"(5770, 8, 7410)","[2.2113156, 2.608355]","[1, 2]","[(5770, 1, 65), (5770, 3, 5780), (5770, 3, 58)]",2.4098353,1.5,3,5.424654,3
"(6504, 10, 7830)","[2.7678065, 2.974217]","[1, 1]","[(6504, 3, 111), (6504, 3, 6511), (6504, 3, 111), (6504, 2, 68)]",2.8710117,1.0,4,3.9476411,5
"(6492, 8, 7393)","[2.1306567, 2.6057656]","[2, 2]","[(6492, 3, 2706), (6492, 3, 732), (6492, 3, 880)]",2.3682113,2.0,3,5.3959875,5
"(6383, 11, 7956)","[2.3677905, 3.5361643]","[1, 1]","[(6383, 3, 2539), (6383, 3, 3058), (6383, 3, 40)]",2.9519773,1.0,3,2.6421046,2
"(5558, 8, 7410)","[2.5630345, 2.761888]","[1, 3]","[(5558, 3, 5561), (5558, 3, 630), (5558, 3, 40), (5558, 3, 630), (5558, 3, 78)]",2.6624613,2.0,5,5.885943,4
"(7628, 12, 8676)","[4.464236, 3.6018584]","[1, 1]","[(7628, 8, 7408), (7628, 3, 40), (7628, 8, 7567)]",4.033047,1.0,3,2.6512852,3
"(6205, 10, 7830)","[2.822104, 3.1169853]","[1, 1]","[(6205, 2, 709), (6205, 2, 30), (6205, 3, 40)]",2.9695446,1.0,3,3.9084363,5
"(7201, 8, 7410)","[2.0895205, 2.5198362]","[1, 2]","[(7201, 3, 3975), (7201, 3, 118), (7201, 2, 31)]",2.3046784,1.5,3,4.1836443,2
"(4952, 11, 7869)","[2.6398787, 3.717167]","[3, 2]","[(4952, 3, 4958), (4952, 3, 4957), (4952, 1, 941)]",3.1785228,2.5,3,3.7838056,3
